"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c"
2,2,207,2,1302,20091,4,0,2,7,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,207,2,1302,20092,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,207,2,1302,20093,2,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,207,2,1302,20094,2,0,0,0,0,0,2,0,0,2,0,1,,,,2,,,,,,,,,
2,2,207,2,1302,20095,4,2,2,0,0,0,0,0,0,3,3,1,,,,1,8,1,4,5,,,,,
2,2,207,2,1302,20096,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,207,2,1302,20097,0,2,3,0,0,0,0,0,0,3,5,1,,,,1,8,8,1,3,5,,,,
2,2,207,2,1302,20098,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,207,2,1302,20099,0,0,0,0,0,0,0,0,0,2,,1,,,,2,,,,,,,,,
2,2,207,2,1302,20100,4,0,1,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,205,2,712,20101,0,0,0,3,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,
2,2,205,2,712,20102,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,205,2,712,20103,5,0,2,0,0,0,0,1,1,2,3,1,,,,2,,,,,,,,,
2,2,205,2,712,20104,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,
2,2,205,2,712,20105,0,0,0,0,0,0,0,0,0,,2,1,,,,2,,,,,,,,,
2,2,205,2,712,20106,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,
2,2,205,2,712,20107,4,2,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,
2,2,205,2,712,20108,5,5,5,0,0,0,0,0,0,2,2,1,,,,1,9,9,,,,,4,4,
