"zone","state","lga","sector","ea","hhid","item_cd","sa7q1","sa7q2","sa7q3","sa7q4a","sa7q4b","sa7q5"
2,15,1510,2,616,150041,3,1,1600,,"N1",,2
2,15,1510,2,616,150043,2,1,1500,,"N1",,
2,15,1510,2,616,150043,3,1,700,,"N2",,
2,15,1510,2,616,150043,6,1,500,,,,
2,15,1510,2,616,150043,7,1,2000,,"N3",,
2,15,1510,2,616,150044,2,1,1200,,"N1",,2
2,15,1510,2,616,150044,3,1,600,,"N1",,2
2,15,1510,2,616,150044,6,1,2000,,"N3",,2
2,15,1510,2,616,150047,2,1,30000,,"N1",,2
2,15,1510,2,616,150047,3,1,5000,,"N2",,2
2,15,1507,2,458,150051,2,1,5000,,"N2",,2
2,15,1507,2,458,150051,3,1,1700,,"N2",,2
2,15,1507,2,458,150051,6,1,600,,"N2",,2
2,15,1507,2,458,150051,7,1,2000,,"N3",,
2,15,1507,2,458,150052,1,1,4000,,"N3",,2
2,15,1507,2,458,150052,2,1,10000,,"N4",,2
2,15,1507,2,458,150052,3,1,4000,,"N2",,2
2,15,1507,2,458,150052,6,1,1000,,"N5",,2
2,15,1507,2,458,150053,1,1,7000,,"N2",,2
2,15,1507,2,458,150055,1,1,5000,,"N2",,2
2,15,1503,2,634,150068,1,1,500,,"N2",,2
2,15,1503,2,634,150069,1,1,2000,,"N2",,2
2,15,1503,2,634,150069,2,1,10000,,"N3",,2
2,15,1503,2,634,150069,3,1,5000,,"N4",,2
2,15,1503,2,634,150069,6,1,100,,"N5",,2
2,15,1503,2,634,150069,8,1,1000,,"N6",,2
2,15,1506,1,148,150077,1,1,3000,,"N1",,2
2,15,1506,1,148,150077,2,1,5000,,"N1",,2
2,15,1506,1,148,150077,3,1,25000,,"N2",,2
2,15,1506,1,148,150077,4,1,10000,,"N2",,2
2,15,1506,1,148,150077,5,1,5000,,"N2",,2
2,15,1506,1,148,150077,6,1,4000,,"N2",,2
2,15,1506,1,148,150077,7,1,1000,,"N1",,2
2,15,1506,1,148,150078,2,1,36000,,"N3",,2
2,15,1506,1,148,150078,3,1,10000,,"N2",,2
2,15,1506,1,148,150078,7,1,4000,,,,
4,16,1616,2,296,160061,2,1,72500,,"N2",,2
4,16,1616,2,296,160061,3,1,12000,,"N2",,2
4,16,1616,2,296,160061,5,1,15000,,"N3",,2
4,16,1616,2,296,160061,6,1,10000,,"N5",,2
4,16,1620,2,106,160078,2,1,22000,,"N1",,2
4,16,1620,2,106,160078,3,1,5000,,"N2",,2
4,16,1620,2,106,160078,6,1,400,,"N1",,2
4,16,1601,2,954,160092,2,1,25000,,"N2",,2
4,16,1601,2,954,160092,3,1,6000,,"N3",,2
4,16,1601,2,954,160092,6,1,6000,,"N3",,2
4,16,1612,2,108,160186,2,1,20000,,"N4",,2
4,16,1612,2,108,160186,3,1,1000,,"N3",,2
3,17,1706,2,284,170001,2,1,30000,,"N4",,2
3,17,1706,2,284,170002,2,1,10000,,"N1",,2
3,17,1706,2,284,170003,2,1,4000,,"N4",,2
3,17,1706,2,284,170003,3,1,2000,,"N4",,2
3,17,1706,2,284,170004,2,1,500,,"N1",,2
3,17,1706,2,284,170004,3,1,2000,,"N2",,2
