"zone","state","lga","sector","ea","hhid","plotid","sa2q1a1","sa2q1a2","sa2q1a3","sa2q1a4","sa2q1b1","sa2q1b2","sa2q1b3","sa2q1b4","sa2q1c1","sa2q1c2","sa2q1c3","sa2q1c4","sa2q1d1","sa2q1d2","sa2q1d3","sa2q1d4","sa2q2","sa2q3","sa2q4","sa2q5","sa2q6","sa2q7","sa2q8","sa2q9","sa2q10","sa2q11a","sa2q11b","sa2q11c","sa2q12a","sa2q12b","sa2q12c","sa2q13a","sa2q13b","sa2q13c"
4,1,108,2,904,10109,1,1,3,4,16,2,3,4,16,3,1,1,4,,,,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10109,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,1,3,3,3,2,2,2,2,3,2,2,4,2,1,2,,,,,,,,,,,,,,0,0,0,,,
4,1,108,2,904,10110,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20001,1,1,12,16,4,4,10,12,8,6,8,12,9,6,9,6,10,21,,500,,,,,,,1080,3,13,,,,,,
2,2,209,2,1040,20001,2,1,5,9,2,2,5,9,4,2,5,9,5,2,4,5,,,,,5,5,500,,,,1070,,,,,,,,
2,2,209,2,1040,20002,1,1,5,10,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,2,1,5,10,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,3,1,5,10,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,4,1,5,10,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20002,5,1,5,10,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20003,1,1,8,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20003,2,1,8,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20003,3,1,8,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20004,1,1,6,5,2,6,6,5,3,6,6,5,4,6,6,5,,,,,,,,,,,1070,,,,17,,"N1","N2",
2,2,209,2,1040,20004,2,1,6,5,2,6,6,5,3,6,6,5,4,6,6,5,,,,,,,,,,,2220,,,,6,,"N1",,
2,2,209,2,1040,20005,1,1,5,7,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,1,2,,"N1",,
2,2,209,2,1040,20005,2,1,6,8,3,2,2,4,,,,,,,,,,3,2,600,,,,,,,,,,2,2,,"N2",,
2,2,209,2,1040,20005,3,1,4,8,5,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,4,1,5,7,5,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20005,5,1,6,8,5,1,6,8,3,1,3,6,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20006,1,1,14,5,4,2,14,5,7,2,14,5,8,2,14,5,,4,7,7000,5,5,3500,,,,1010,100,1,,,,,,
2,2,209,2,1040,20006,2,1,14,5,4,2,14,5,7,2,14,5,8,2,14,5,,6,11,1000,5,5,3500,,,,1110,100,1,,,,,,
2,2,209,2,1040,20007,1,1,2,10,2,2,10,8,3,2,4,6,,,,,,3,4,600,2,4,500,,,,,,,2,,,"N1","N2",
2,2,209,2,1040,20008,1,1,6,8,2,5,6,7,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20008,2,1,6,8,2,5,6,7,3,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20009,1,1,7,12,7,1,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20009,2,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20009,3,1,7,12,6,1,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,209,2,1040,20010,1,1,6,10,4,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,201,2,60,20021,1,1,2,5,9,11,2,5,9,2,5,5,5,4,5,5,5,3,3,,5,3,,0,,,1070,200,1,1,1,0,,,
