"zone","state","lga","sector","ea","group_cd","groupspecify","sc3q1","sc3q2","sc3q3a","sc3q3b","sc3q4","sc3q5","sc3q6"
5,3,316,2,874,304,,2,,,,,,
5,3,316,2,874,305,,1,1,2,,41,41,5
5,3,316,2,874,306,,1,1,2,,58,8,32
5,3,316,2,874,307,,1,2,2,,30,10,7
5,3,316,2,874,308,,1,1,2,,26,11,2
5,3,316,2,874,309,,2,,,,,,
5,3,316,2,874,310,,2,,,,,,
5,3,316,2,874,311,,1,1,3,,10,2,0
5,3,316,2,874,312,,,,,,,,
5,3,316,2,874,313,,1,1,2,,15,0,0
5,3,316,2,874,314,,,,,,,,
5,3,318,2,1136,301,,1,1,4,,15,3,0
5,3,318,2,1136,302,,2,,,,,,
5,3,318,2,1136,303,,1,1,3,,80,16,0
5,3,318,2,1136,304,,2,,,,,,
5,3,318,2,1136,305,,1,1,2,,68,68,13
5,3,318,2,1136,306,,1,1,2,,47,0,31
5,3,318,2,1136,307,,1,3,2,,56,23,10
5,3,318,2,1136,308,,1,3,2,,25,9,14
5,3,318,2,1136,309,,2,,,,,,
5,3,318,2,1136,310,,2,,,,,,
5,3,318,2,1136,311,,1,1,3,,35,14,12
5,3,318,2,1136,312,,2,,,,,,
5,3,318,2,1136,313,,1,1,1,,24,0,7
5,3,318,2,1136,314,,1,1,2,,11,5,2
5,3,318,2,1136,315,,,,,,,,
5,3,321,2,364,301,,2,,,,,,
5,3,321,2,364,302,,2,,,,,,
5,3,321,2,364,303,,2,,,,,,
5,3,321,2,364,304,,2,,,,,,
5,3,321,2,364,305,,2,,,,,,
5,3,321,2,364,306,,1,1,2,,25,6,20
5,3,321,2,364,307,,1,2,1,,38,13,11
5,3,321,2,364,308,,1,1,2,,27,16,12
5,3,321,2,364,309,,2,,,,,,
5,3,321,2,364,310,,2,,,,,,
5,3,321,2,364,311,,1,1,3,,7,2,0
5,3,321,2,364,312,,2,,,,,,
5,3,321,2,364,313,,2,,,,,,
5,3,321,2,364,314,,2,,,,,,
5,3,323,2,580,301,,1,1,3,,10,,
5,3,323,2,580,302,,2,,,,,,
5,3,323,2,580,303,,1,1,2,,20,20,0
5,3,323,2,580,304,,2,,,,,,
5,3,323,2,580,305,,1,1,2,,33,33,0
5,3,323,2,580,306,,1,1,2,,40,14,28
5,3,323,2,580,307,,1,1,1,,50,8,16
5,3,323,2,580,308,,1,1,3,,36,15,0
5,3,323,2,580,309,,1,1,6,,15,1,0
5,3,323,2,580,310,,2,,,,,,
5,3,323,2,580,311,,1,1,3,,7,2,0
5,3,323,2,580,312,,2,,,,,,
5,3,323,2,580,313,,1,1,1,,25,0,0
5,3,323,2,580,314,,2,,,,,,
5,3,323,2,580,315,,,,,,,,
5,3,326,2,74,301,,2,,,,,,
5,3,326,2,74,302,,2,,,,,,
5,3,326,2,74,303,,2,,,,,,
5,3,326,2,74,304,,2,,,,,,
5,3,326,2,74,305,,1,2,2,,30,30,6
5,3,326,2,74,306,,1,2,3,,40,13,31
5,3,326,2,74,307,,1,3,2,,96,28,37
5,3,326,2,74,308,,1,2,2,,35,18,11
5,3,326,2,74,309,,2,,,,,,
5,3,326,2,74,310,,2,,,,,,
5,3,326,2,74,311,,1,1,3,,15,8,2
5,3,326,2,74,312,,2,,,,,,
5,3,326,2,74,313,,2,,,,,,
5,3,326,2,74,314,,2,,,,,,
5,3,329,2,696,301,,2,,,,,,
5,3,329,2,696,302,,2,,,,,,
5,3,329,2,696,303,,2,,,,,,
5,3,329,2,696,304,,2,,,,,,
5,3,329,2,696,305,,2,,,,,,
5,3,329,2,696,306,,1,1,2,,45,13,21
5,3,329,2,696,307,,1,2,2,,68,24,16
5,3,329,2,696,308,,2,,,,,,
5,3,329,2,696,309,,2,,,,,,
5,3,329,2,696,310,,2,,,,,,
5,3,329,2,696,311,,1,1,3,,12,3,0
5,3,329,2,696,312,,2,,,,,,
5,3,329,2,696,313,,2,,,,,,
5,3,329,2,696,314,,2,,,,,,
5,3,331,1,516,302,,2,,,,,,
5,3,331,1,516,303,,2,,,,,,
5,3,331,1,516,304,,2,,,,,,
5,3,331,1,516,305,,1,1,2,,66,66,0
5,3,331,1,516,306,,1,1,2,,58,17,38
5,3,331,1,516,307,,1,3,1,,45,5,15
5,3,331,1,516,308,,2,,,,,,
5,3,331,1,516,309,,2,,,,,,
5,3,331,1,516,310,,2,,,,,,
5,3,331,1,516,311,,1,1,3,,15,4,0
5,3,331,1,516,312,,2,,,,,,
5,3,331,1,516,313,,2,,,,,,
5,3,331,1,516,314,,2,,,,,,
5,3,331,1,2322,301,,2,,,,,,
5,3,331,1,2322,302,,2,,,,,,
5,3,331,1,2322,303,,1,1,2,,25,13,0
5,3,331,1,2322,304,,2,,,,,,
5,3,331,1,2322,305,,1,1,2,,37,37,0
5,3,331,1,2322,306,,1,2,2,,56,22,36
5,3,331,1,2322,307,,1,2,2,,76,16,0
5,3,331,1,2322,308,,2,,,,,,
5,3,331,1,2322,309,,2,,,,,,
5,3,331,1,2322,310,,2,,,,,,
5,3,331,1,2322,311,,1,1,3,,7,2,0
5,3,331,1,2322,312,,2,,,,,,
5,3,331,1,2322,313,,2,,,,,,
5,3,331,1,2322,314,,2,,,,,,
4,4,401,1,738,301,,1,1,2,,6,2,
4,4,401,1,738,302,,1,1,2,,15,7,2
4,4,401,1,738,303,,2,,,,,,
4,4,401,1,738,304,,2,,,,,,
4,4,401,1,738,305,,1,1,2,,12,12,4
4,4,401,1,738,306,,1,1,2,,20,5,15
4,4,401,1,738,307,,1,1,1,,15,6,10
4,4,401,1,738,308,,1,1,2,,8,3,4
4,4,401,1,738,309,,2,,,,,,
4,4,401,1,738,310,,2,,,,,,
4,4,401,1,738,311,,1,1,3,,15,7,6
4,4,401,1,738,312,,2,,,,,,
4,4,401,1,738,313,,1,1,1,,10,,5
4,4,401,1,738,314,,2,,,,,,
4,4,401,1,738,315,,2,,,,,,
4,4,401,1,1460,301,,2,,,,,,
4,4,401,1,1460,302,,2,,,,,,
4,4,401,1,1460,303,,2,,,,,,
4,4,401,1,1460,304,,2,,,,,,
4,4,401,1,1460,305,,1,1,2,,25,25,10
4,4,401,1,1460,306,,1,1,2,,30,14,25
4,4,401,1,1460,307,,2,,,,,,
4,4,401,1,1460,308,,1,1,1,,15,4,6
4,4,401,1,1460,309,,2,,,,,,
4,4,401,1,1460,310,,2,,,,,,
4,4,401,1,1460,311,,1,1,3,,17,10,5
4,4,401,1,1460,312,,2,,,,,,
4,4,401,1,1460,313,,1,1,1,,12,,7
4,4,401,1,1460,314,,2,,,,,,
4,4,401,1,1460,315,,2,,,,,,
4,4,401,2,2106,301,,2,,,,,,
4,4,401,2,2106,302,,2,,,,,,
4,4,401,2,2106,303,,2,,,,,,
4,4,401,2,2106,304,,2,,,,,,
4,4,401,2,2106,305,,1,2,2,,15,15,10
