"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7b","s12q7c","s12q7d"
2,2,214,2,898,20079,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,214,2,898,20080,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
2,2,215,1,8,20081,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,,,,3,1,2,
2,2,215,1,8,20082,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,215,1,8,20083,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,215,1,8,20084,0,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,,,,,,5,,,
2,2,215,1,8,20085,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,215,1,8,20086,7,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,3,1,2,
2,2,215,1,8,20087,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,215,1,8,20088,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,215,1,8,20089,4,3,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,4,5,,,,
2,2,215,1,8,20090,3,0,0,0,0,0,0,0,0,3,3,1,,,,1,7,8,9,,,,4,5,,
2,2,207,2,1302,20091,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20092,1,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20093,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20094,7,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20095,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20096,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20097,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20098,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20099,3,3,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,207,2,1302,20100,0,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
2,2,205,2,712,20101,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,9,,,,,,1,2,3,
2,2,205,2,712,20102,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,205,2,712,20103,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,10,,,,,,1,2,3,
2,2,205,2,712,20104,2,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,205,2,712,20105,7,0,0,0,0,0,0,0,0,2,0,1,,,,2,,,,,,,,,,
2,2,205,2,712,20106,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,205,2,712,20107,1,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,205,2,712,20108,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,205,2,712,20109,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,205,2,712,20110,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20111,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20112,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20113,0,0,0,0,0,0,0,0,0,3,3,2,,,,2,,,,,,,,,,
2,2,218,2,1592,20114,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20115,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20116,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20117,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,8,,,,,,2,3,4,
2,2,218,2,1592,20118,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
2,2,218,2,1592,20119,0,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,,,,,,,,,,
2,2,218,2,1592,20120,7,0,0,0,0,0,0,0,0,3,3,1,,,,1,8,,,,,,3,2,1,
5,3,331,1,2322,30001,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30002,0,0,0,0,0,0,2,5,4,1,2,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30003,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30004,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30005,3,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30006,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30007,2,0,0,0,0,0,0,0,0,2,4,2,2,3,1,2,,,,,,,,,,
5,3,331,1,2322,30008,2,2,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30009,0,0,2,2,1,0,2,2,2,3,4,1,,,,2,,,,,,,,,,
5,3,331,1,2322,30010,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,
5,3,331,1,516,30012,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
5,3,331,1,516,30013,3,0,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,
5,3,331,1,516,30016,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,
5,3,331,1,516,30017,4,4,3,2,0,0,0,1,0,3,4,1,,,,2,,,,,,,,,,
5,3,331,1,516,30018,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,
5,3,331,1,516,30019,3,3,1,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,
