"zone","state","lga","sector","ea","hhid","indiv","s3bq1a","s3bq1b","s3bq1c","s3bsept10","s3bq1d","s3bq1e","s3bq1f","s3boct10","s3bq1g","s3bq1h","s3bq1i","s3bnov10","s3bq1j","s3bq1k","s3bq1l","s3bdec10","s3bq1m","s3bq1n","s3bq1o","s3bjan11","s3bq1p","s3bq1q","s3bq1r","s3bfeb11","trackingobs"
4,1,102,1,1690,10052,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10052,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10053,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10053,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10053,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10054,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10054,2,11,,,,11,,,,11,,,,11,,,,11,,,,11,,,,0
4,1,102,1,1690,10054,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10054,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10054,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10055,1,7,,,,7,,,,7,,,,7,,,,7,,,,7,,,,0
4,1,102,1,1690,10055,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10055,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10055,4,14,,,,14,,,,14,,,,14,,,,13,,,,13,,,,0
4,1,102,1,1690,10056,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10056,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10057,1,6,,,,6,,,,6,,,,6,,,,6,,,,6,,,,0
4,1,102,1,1690,10057,2,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10058,1,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10058,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10058,3,8,,,,8,,,,8,,,,8,,,,8,,,,8,,,,0
4,1,102,1,1690,10058,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10058,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10058,6,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10059,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10060,1,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10060,2,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10060,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,102,1,1690,10060,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10061,1,7,1,,,7,1,,,7,1,,,7,1,,,7,1,,,7,1,,,0
4,1,107,2,1044,10061,2,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,0
4,1,107,2,1044,10061,3,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10061,4,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10061,5,14,,,,14,,,,14,,,,14,,,,14,,,,14,,,,0
4,1,107,2,1044,10062,1,1,8,,,1,8,,,1,8,,,1,8,,,1,8,,,1,8,,,0
