"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,107,2,1044,10070,4,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,5,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,6,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,7,2,,,,,,,,,,,,,,
4,1,107,2,1044,10070,9,2,,,,,,,,,,,,,,
4,1,117,2,560,10071,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10072,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10072,3,2,,,,,,,,,,,,,,
4,1,117,2,560,10072,4,2,,,,,,,,,,,,,,
4,1,117,2,560,10073,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10074,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10074,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10074,3,2,,,,,,,,,,,,,,
4,1,117,2,560,10075,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10076,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10076,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10077,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10077,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10078,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10078,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10078,4,2,,,,,,,,,,,,,,
4,1,117,2,560,10078,5,2,,,,,,,,,,,,,,
4,1,117,2,560,10079,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10079,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10080,1,2,,,,,,,,,,,,,,
4,1,117,2,560,10080,2,2,,,,,,,,,,,,,,
4,1,117,2,560,10080,3,2,,,,,,,,,,,,,,
4,1,117,2,560,10080,4,2,,,,,,,,,,,,,,
4,1,110,2,76,10081,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10082,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10083,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10083,2,2,,,,,,,,,,,,,,
4,1,110,2,76,10084,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10085,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10085,2,2,,,,,,,,,,,,,,
4,1,110,2,76,10086,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10086,2,2,,,,,,,,,,,,,,
4,1,110,2,76,10087,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10088,1,2,,,,,,,,,,,,,,
4,1,110,2,76,10088,2,2,,,,,,,,,,,,,,
