"cropname","cropcode","nscode","conversion","kg"
"bambara nut",2020,62,25,1
"bambara nut",2020,63,40,1
"bambara nut",2020,71,60,1
"bambara nut",2020,72,85,1
"bambara nut",2020,73,110,1
"bambara nut",2020,74,150,1
"bambara nut",2020,81,1500,1
"bambara nut",2020,82,2000,1
"bambara nut",2020,83,2500,1
"banana",2030,21,20,1
"banana",2030,22,50,1
"banana",2030,23,100,1
"banana",2030,24,120,1
"banana",2030,25,15,1
"banana",2030,26,30,1
"banana",2030,27,50,1
"banana",2030,28,75,1
"banana",2030,31,10,1
"banana",2030,32,25,1
"banana",2030,33,40,1
"banana",2030,34,75,1
"banana",2030,41,5,1
"banana",2030,42,8,1
"banana",2030,43,15,1
"banana",2030,61,15,1
"banana",2030,62,25,1
"banana",2030,63,40,1
"banana",2030,71,60,1
"banana",2030,72,85,1
"banana",2030,73,110,1
"banana",2030,74,150,1
"BANANA",2030,81,1500,1
"beeni-seed",2040,21,20,1
"beeni-seed",2040,22,50,1
"beeni-seed",2040,23,100,1
"beeni-seed",2040,24,120,1
"beeni-seed",2040,25,15,1
"beeni-seed",2040,26,30,1
"beeni-seed",2040,27,50,1
"beeni-seed",2040,28,75,1
"beeni-seed",2040,31,10,1
"beeni-seed",2040,32,25,1
"beeni-seed",2040,33,40,1
"beeni-seed",2040,34,75,1
"beeni-seed",2040,61,15,1
"beeni-seed",2040,62,25,1
"beeni-seed",2040,63,40,1
"carrot",2050,21,20,1
"carrot",2050,22,50,1
"carrot",2050,23,100,1
"carrot",2050,24,120,1
"carrot",2050,25,15,1
"carrot",2050,26,30,1
"carrot",2050,27,50,1
"carrot",2050,28,75,1
"carrot",2050,31,10,1
"carrot",2050,32,25,1
"carrot",2050,33,40,1
"carrot",2050,34,75,1
"CARROT",2050,52,5,1
"carrot",2050,61,15,1
"carrot",2050,62,25,1
"carrot",2050,63,40,1
"carrot",2050,71,60,1
"carrot",2050,72,85,1
"carrot",2050,73,110,1
"carrot",2050,74,150,1
"carrot",2050,81,1500,1
"carrot",2050,82,2000,1
"carrot",2050,83,2500,1
"cucumber",2060,21,20,1
"cucumber",2060,22,50,1
"cucumber",2060,23,100,1
"cucumber",2060,24,120,1
"cucumber",2060,25,15,1
"cucumber",2060,26,30,1
"cucumber",2060,27,50,1
"cucumber",2060,28,75,1
"cucumber",2060,31,10,1
"cucumber",2060,32,25,1
"cucumber",2060,33,40,1
"cucumber",2060,34,75,1
"cucumber",2060,61,15,1
"cucumber",2060,62,25,1
"cucumber",2060,63,40,1
"cucumber",2060,71,60,1
"cucumber",2060,72,85,1
"cucumber",2060,73,110,1
"cucumber",2060,74,150,1
"cabbage",2070,21,20,1
"cabbage",2070,22,50,1
"cabbage",2070,23,100,1
"cabbage",2070,24,120,1
"cabbage",2070,25,15,1
"cabbage",2070,26,30,1
"cabbage",2070,27,50,1
"cabbage",2070,28,75,1
"cabbage",2070,31,10,1
"cabbage",2070,32,25,1
"cabbage",2070,33,40,1
"cabbage",2070,34,75,1
"CABBAGE",2070,53,8,1
"cabbage",2070,61,15,1
"cabbage",2070,62,25,1
"cabbage",2070,63,40,1
"cabbage",2070,71,60,1
"cabbage",2070,72,85,1
"cabbage",2070,73,110,1
"cabbage",2070,74,150,1
"CABBAGE",2070,82,2000,1
"Letus",2071,21,20,1
"Letus",2071,22,50,1
"Letus",2071,23,100,1
"Letus",2071,24,120,1
"Letus",2071,25,15,1
"Letus",2071,26,30,1
"Letus",2071,27,50,1
"Letus",2071,28,75,1
"Letus",2071,31,10,1
"Letus",2071,32,25,1
"Letus",2071,33,40,1
"Letus",2071,34,75,1
"Letus",2071,61,15,1
"Letus",2071,62,25,1
"Letus",2071,63,40,1
"Letus",2071,71,60,1
"Letus",2071,72,85,1
"Letus",2071,73,110,1
"Letus",2071,74,150,1
"GARDEN EGG",2080,8,6.5,1
"Garden egg",2080,21,20,1
"Garden egg",2080,22,50,1
"Garden egg",2080,23,100,1
"Garden egg",2080,24,120,1
"Garden egg",2080,25,15,1
"Garden egg",2080,26,30,1
"Garden egg",2080,27,50,1
"Garden egg",2080,28,75,1
"Garden egg",2080,31,10,1
"Garden egg",2080,32,25,1
"Garden egg",2080,33,40,1
"Garden egg",2080,34,75,1
"Garden egg",2080,61,15,1
"Garden egg",2080,62,25,1
"Garden egg",2080,63,40,1
"Garden egg",2080,71,60,1
"Garden egg",2080,72,85,1
"Garden egg",2080,73,110,1
"Garden egg",2080,74,150,1
"garlic",2090,21,20,1
"garlic",2090,22,50,1
"garlic",2090,23,100,1
"garlic",2090,24,120,1
"garlic",2090,25,15,1
"garlic",2090,26,30,1
"garlic",2090,27,50,1
"garlic",2090,28,75,1
"garlic",2090,31,10,1
"garlic",2090,32,25,1
"garlic",2090,33,40,1
"garlic",2090,34,75,1
"garlic",2090,61,15,1
"garlic",2090,62,25,1
"garlic",2090,63,40,1
"garlic",2090,71,60,1
