"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","ag1","ag2","ag3","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","saq22b_os"
4,1,108,2,904,10105,1205,7,1,2,1,2,1,5,1,"29022016",29,2,2016,11,10,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10106,1205,21,1,2,1,2,1,5,1,"01032016",1,3,2016,12,50,15,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10107,1205,3,1,2,1,2,1,4,1,"29022016",29,2,2016,16,22,18,6,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
4,1,108,2,904,10108,1205,18,1,2,1,2,1,3,1,"29022016",29,2,2016,13,2,15,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10109,1205,32,1,2,1,2,1,3,1,"01032016",1,3,2016,10,27,14,54,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
4,1,108,2,904,10110,1205,14,1,2,1,2,1,3,1,"29022016",29,2,2016,10,13,12,28,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
2,2,209,2,1040,20001,1305,4,1,2,1,2,1,4,1,"02032016",2,3,2016,15,18,18,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20002,1305,9,1,2,1,2,1,4,1,"02032016",2,3,2016,9,2,14,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,34,3401,2,0,20003,0,0,1,2,1,2,1,3,1,"17032016",17,3,2016,8,15,12,47,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
2,2,209,2,0,20004,0,0,1,2,1,2,1,3,1,"02032016",2,3,2016,7,15,9,5,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,
2,2,209,2,1040,20005,1305,1,1,2,1,2,1,5,1,"02032016",2,3,2016,8,17,11,12,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20006,1305,14,1,3,1,2,1,3,1,"02032016",2,3,2016,8,16,11,49,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20007,1305,22,1,2,1,2,1,3,1,"02032016",2,3,2016,12,42,13,52,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20008,1305,6,1,2,1,2,1,3,1,"02032016",2,3,2016,7,35,10,9,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20009,1305,20,1,2,1,2,1,2,1,"02032016",2,3,2016,16,49,19,51,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
2,2,209,2,1040,20010,1305,36,1,2,1,2,1,5,1,"02032016",2,3,2016,11,41,14,53,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,
