"zone","state","lga","sector","ea","hhid","s12q1a","s12q1b","s12q1c","s12q1d","s12q1e","s12q1f","s12q1g","s12q1h","s12q1i","s12q2a","s12q2b","s12q3","s12q4a","s12q4b","s12q4c","s12q5","s12q6a","s12q6b","s12q6c","s12q6d","s12q6e","s12q6f","s12q7a","s12q7a_os","s12q7b","s12q7b_os","s12q7c","s12q7c_os"
2,2,203,2,1224,20041,5,3,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20042,3,1,1,1,0,0,0,0,0,3,,1,,,,1,8,,,,,,4,,1,,5,
2,2,203,2,1224,20043,0,1,0,0,2,0,0,1,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20044,2,2,2,1,1,0,0,0,0,3,,1,,,,1,8,,,,,,4,,6,,,
2,2,203,2,1224,20045,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20046,4,3,1,2,3,0,0,0,0,3,0,1,,,,1,8,,,,,,1,,4,,,
2,2,203,2,1224,20047,0,1,1,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20048,5,5,0,0,0,0,0,0,0,3,6,1,,,,1,7,8,,,,,3,,5,,4,
2,2,203,2,1224,20049,4,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,203,2,1224,20050,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20051,2,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20052,3,1,0,0,1,0,0,1,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20053,3,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20054,3,3,0,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20055,0,0,0,0,0,0,0,0,0,3,4,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20056,5,5,2,1,0,0,0,0,0,3,0,1,,,,1,9,,,,,,5,,6,,4,
2,2,212,2,956,20057,7,7,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20058,0,0,0,1,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20059,3,2,0,0,0,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,,
2,2,212,2,956,20060,4,3,1,2,0,0,0,0,0,3,,1,,,,1,8,,,,,,4,,1,,,
2,2,210,2,1300,20061,0,1,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20062,0,1,0,0,0,0,0,0,1,2,2,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20063,4,4,3,3,3,0,0,0,0,3,0,1,,,,1,8,,,,,,4,,5,,6,
2,2,210,2,1300,20064,2,0,0,0,0,0,0,0,0,2,4,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20065,3,2,0,0,0,0,0,0,0,2,3,1,,,,1,8,9,,,,,10,,5,,9,
2,2,210,2,1300,20066,4,7,0,0,0,0,0,0,0,2,3,1,,,,1,8,9,,,,,10,,5,,7,
6,24,2404,1,0,20067,0,0,0,0,0,0,0,0,0,3,0,1,,,,2,,,,,,,,,,,,
2,2,210,2,1300,20068,6,4,3,3,4,0,0,0,0,3,,1,,,,1,8,,,,,,10,,5,,4,
2,2,210,2,1300,20069,2,0,0,0,0,0,0,0,0,3,3,1,,,,1,9,,,,,,10,,,,,
2,2,210,2,1300,20070,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20071,0,1,0,1,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20072,0,0,0,0,0,0,0,0,0,3,6,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20073,3,3,0,0,0,0,0,0,0,3,4,1,,,,1,7,8,9,,,,10,,5,,9,
2,2,214,2,898,20074,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
2,2,214,2,898,20075,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,,
