"zone","state","lga","sector","ea","hhid","ric","saq7","qno","qno1","saq11_b","saq12_b","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22b"
2,2,216,2,200,20032,1308,32,1,2,5,1,"15092015",15,9,2015,11,20,14,39,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20033,1308,4,1,2,2,1,"17092015",17,9,2015,12,21,15,7,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20034,1308,35,1,2,3,1,"16092015",16,9,2015,11,28,13,2,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20035,1308,1,1,2,2,1,"16092015",16,9,2015,12,35,14,43,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20036,1308,10,1,2,3,1,"16092015",16,9,2015,13,28,14,21,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20037,1308,19,1,3,4,1,"15092015",15,9,2015,6,8,8,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20038,1308,22,1,2,4,1,"15092015",15,9,2015,11,11,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,216,2,200,20040,1308,9,1,2,2,1,"17092015",17,9,2015,9,12,12,3,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20041,1102,7,1,2,3,1,"01092015",1,9,2015,6,35,7,42,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20042,1102,18,1,2,2,1,"01092015",1,9,2015,11,32,14,49,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20043,1102,1,1,2,4,1,"31082015",31,8,2015,9,32,11,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20044,1102,3,1,2,5,1,"01092015",1,9,2015,14,30,17,23,1,,"02092015",2,9,2015,8,2,11,0,16,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20045,1102,12,1,2,2,1,"01092015",1,9,2015,6,30,8,49,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20046,1102,1,1,2,5,1,"01092015",1,9,2015,6,23,10,1,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20047,1102,16,1,3,4,1,"01092015",1,9,2015,6,42,8,54,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20048,1102,14,1,2,3,1,"01092015",1,9,2015,14,16,15,21,16,,"02092015",2,9,2015,6,26,8,32,16,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20049,1102,5,1,3,3,1,"01092015",1,9,2015,9,28,13,38,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,203,2,1224,20050,1102,10,1,2,2,1,"01092015",1,9,2015,8,58,11,4,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20051,1206,16,1,3,5,1,"04092015",4,9,2015,6,45,11,12,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20052,1206,15,1,2,4,1,"02092015",2,9,2015,12,3,14,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20053,1206,9,1,2,2,1,"02092015",2,9,2015,8,49,10,57,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20054,1206,18,1,2,3,1,"02092015",2,9,2015,11,58,13,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20055,1206,9,1,2,3,1,"02092015",2,9,2015,9,28,10,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20056,1206,13,1,2,5,1,"03092015",3,9,2015,14,0,16,30,16,,"03092015",3,9,2015,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20057,1206,3,1,2,2,1,"02092015",2,9,2015,11,40,13,47,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,212,2,956,20058,1206,5,1,2,4,1,"04092015",4,9,2015,16,50,18,9,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,212,2,956,20059,1206,1,1,3,4,1,"03092015",3,9,2015,6,25,7,55,16,,,,,,,,,,,,,,,,,,,,,,1,1,1
2,2,212,2,956,20060,1206,11,1,2,5,1,"03092015",3,9,2015,9,12,11,17,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,210,2,1300,20061,1405,13,1,2,4,1,"10092015",10,9,2015,8,11,9,59,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
2,2,210,2,1300,20062,1405,21,1,2,5,1,"10092015",10,9,2015,14,5,17,2,16,,,,,,,,,,,,,,,,,,,,,,2,1,1
