"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
5,3,331,1,2322,30003,2,2,,2,2,,2,1,1,,2,2,1,2,1,2
5,3,331,1,2322,30004,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
5,3,331,1,2322,30005,1,2,,1,2,,2,1,1,,2,1,2,3,1,2
5,3,331,1,2322,30006,2,1,1,,2,,2,1,1,,2,2,1,2,1,2
5,3,331,1,2322,30007,1,1,2,,1,1,,1,1,,2,2,3,2,3,2
5,3,331,1,2322,30008,2,1,1,,2,,2,1,1,,2,2,1,2,1,1
5,3,331,1,2322,30009,2,2,,1,2,,2,1,1,,2,2,1,2,2,1
5,3,331,1,2322,30010,2,1,1,,2,,2,1,1,,2,2,1,2,1,1
5,3,331,1,516,30011,1,1,1,,1,2,,1,1,,1,2,1,2,2,2
5,3,331,1,516,30012,1,1,1,,1,1,,2,,2,1,2,1,1,1,1
5,3,331,1,516,30013,1,1,2,,2,,2,1,1,,1,2,2,2,2,2
5,3,331,1,516,30015,1,1,1,,2,,1,1,1,,2,1,1,1,2,2
5,3,331,1,516,30016,2,2,,1,2,,1,1,2,,2,2,4,4,1,2
5,3,331,1,516,30017,2,1,1,,1,1,,1,1,,2,2,1,1,1,2
5,3,331,1,516,30018,1,1,1,,2,,2,1,1,,2,2,2,1,2,1
5,3,331,1,516,30019,1,1,2,,2,,2,1,1,,2,2,3,2,2,2
5,3,331,1,516,30020,1,2,,2,2,,2,1,1,,1,2,2,2,2,1
5,3,316,2,874,30021,2,1,1,,1,1,,1,1,,1,2,1,1,1,2
5,3,316,2,874,30022,2,1,1,,1,1,,1,1,,1,2,2,2,2,2
5,3,316,2,874,30023,5,2,,1,2,,1,1,1,,2,2,1,2,2,2
5,3,316,2,874,30024,1,1,1,,2,,1,1,1,,2,2,2,2,2,2
5,3,316,2,874,30025,3,2,,1,1,2,,1,1,,1,2,2,2,2,1
5,3,316,2,874,30026,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
5,3,316,2,874,30027,1,1,1,,1,2,,1,1,,1,2,1,1,1,1
5,3,316,2,874,30028,3,2,,2,2,,2,1,1,,2,2,1,2,1,1
5,3,316,2,0,30029,2,1,1,,2,,2,1,1,,2,1,1,2,2,2
