"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
5,3,331,1,2322,303,2,,,,,,
5,3,331,1,2322,304,2,,,,,,
5,3,331,1,2322,305,1,2,2,,120,120,40
5,3,331,1,2322,306,1,1,2,,100,40,58
5,3,331,1,2322,307,1,2,2,,80,30,15
5,3,331,1,2322,308,2,,,,,,
5,3,331,1,2322,309,2,,,,,,
5,3,331,1,2322,310,1,1,3,,10,3,2
5,3,331,1,2322,311,1,1,3,,140,80,40
5,3,331,1,2322,312,2,,,,,,
5,3,331,1,2322,313,2,,,,,,
5,3,331,1,2322,314,2,,,,,,
5,3,331,1,2322,315,2,,,,,,
4,4,401,1,738,301,1,1,2,,30,0,9
4,4,401,1,738,302,2,,,,,,
4,4,401,1,738,303,1,1,2,,25,25,10
4,4,401,1,738,304,2,,,,,,
4,4,401,1,738,305,1,1,2,,45,45,20
4,4,401,1,738,306,1,1,2,,48,15,15
4,4,401,1,738,307,1,3,2,,38,17,12
4,4,401,1,738,308,1,1,2,,40,20,15
4,4,401,1,738,309,2,,,,,,
4,4,401,1,738,310,2,,,,,,
4,4,401,1,738,311,1,1,2,,25,12,9
4,4,401,1,738,312,2,,,,,,
4,4,401,1,738,313,1,1,1,,30,0,20
4,4,401,1,738,314,2,,,,,,
4,4,401,1,738,315,2,,,,,,
4,4,401,1,1460,301,1,1,2,,30,10,9
4,4,401,1,1460,302,2,,,,,,
4,4,401,1,1460,303,2,,,,,,
4,4,401,1,1460,304,2,,,,,,
4,4,401,1,1460,305,1,2,2,,35,35,15
4,4,401,1,1460,306,1,1,2,,50,25,15
4,4,401,1,1460,307,1,3,2,,35,15,15
4,4,401,1,1460,308,2,,,,,,
4,4,401,1,1460,309,2,,,,,,
4,4,401,1,1460,310,2,,,,,,
4,4,401,1,1460,311,1,1,2,,25,15,8
4,4,401,1,1460,312,2,,,,,,
4,4,401,1,1460,313,1,1,1,,30,0,12
4,4,401,1,1460,314,2,,,,,,
4,4,401,1,1460,315,2,,,,,,
4,4,401,2,2106,301,1,1,2,,10,0,3
4,4,401,2,2106,302,1,1,2,,30,12,7
4,4,401,2,2106,303,2,,,,,,
