"zone","state","lga","sector","ea","hhid","indiv","s3dq1a","s3dq1b","s3dq1c","s3dq1d","s3dq1e","s3dq1f","s3dq1g","s3dq1h","s3dq1i","s3dq1j","s3dq1k","s3dq1l","s3dq1m","s3dq1n","s3dq1o","s3dq1p","s3dq1q","s3dq1r","s3dq2a","s3dq2b","s3dq3a","s3dq3b","s3dq4","s3dq5","s3dq6","s3dq6b","s3dq7","s3dq8a","s3dq8b","s3dq9a","s3dq9b","s3dq10","s3dq11","s3dq12","s3dq12b","tracked_obs"
2,2,221,2,18,20017,1,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,2,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,3,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,4,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20017,6,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,7,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,8,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,9,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,"FARMING",6111,,1,4,42,9,,2,,,,,,,,,0
2,2,221,2,18,20017,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20022,1,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,"TAILORING SERVICES",7433,"DRESS MAKING",14,4,30,3,,1,"CROP GROWER",6114,"AGRICULTURAL ACTIVITIES",1,5,3,9,,0
2,2,201,2,60,20022,2,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,"TAILORING SERVICES",7433,"DRESS MAKING",14,4,21,3,,1,"CROP GROWER",6114,"AGRICULTURAL ACTIVITIES",1,5,2,9,,0
2,2,201,2,60,20022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,1,1,,,1,,,1,,,1,,,1,,,1,,,"CROP AND ANIMA PRODUCTION",1311,"AGRICULTURE",1,6,10,9,,2,,,,,,,,,0
2,2,201,2,60,20023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20023,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20024,1,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,"FARMING",6111,"AGRICULTURE",1,6,46,9,,1,"BLACK SMITHS",7221,"CREATIVE ART AND ENTERT.",90,6,20,9,,0
2,2,201,2,60,20024,2,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
2,2,201,2,60,20024,3,15,,,15,,,14,,,14,,,14,,,14,,,"FARMING",6111,"AGRICULTURE",1,6,40,9,,2,,,,,,,,,0
2,2,201,2,60,20024,4,1,,,1,,,1,,,1,,,1,,,1,,,"FARMING",6111,"AGRICLTURE",1,6,40,9,,2,,,,,,,,,0
2,2,201,2,60,20024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20037,2,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,3,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,4,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,5,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20037,7,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,8,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
2,2,216,2,200,20037,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20037,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20037,11,,,,,1,,,1,,1,,,1,,,1,,,"FARMING",6111,"AGRICULTURE",1,4,42,9,,2,,,,,,,,,0
