"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
2,2,216,2,200,20033,7,2,1,2,1,"MIXED CROP GROWER",6114,"AGRICULTURE",1,5,20,9,,2,,,,,,,,,0
2,2,203,2,1224,20041,1,2,1,2,1,"AGRIC",6114,"CROP GROWER",1,5,5,9,,2,,,,,,,,,0
2,2,203,2,1224,20041,2,2,1,2,1,"AGRIC",6114,"CROP GROWER",1,5,3,9,,2,,,,,,,,,0
2,2,203,2,1224,20041,3,2,1,2,1,"AGRIC",6114,"CROP GROWER",1,5,3,9,,2,,,,,,,,,0
2,2,203,2,1224,20042,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,203,2,1224,20042,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,203,2,1224,20042,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,203,2,1224,20042,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,203,2,1224,20042,5,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,42,9,,2,,,,,,,,,0
2,2,203,2,1224,20043,1,2,1,1,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,20,9,,1,"HUNTER AND TRIPPER",6154,"HUNTER AND TRIPPER",1,4,14,9,,0
2,2,203,2,1224,20043,2,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,4,10,9,,2,,,,,,,,,0
2,2,203,2,1224,20043,3,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,4,10,9,,2,,,,,,,,,0
2,2,212,2,956,20060,1,2,1,2,1,"FARMING & LIVESTOCK",6130,"AGRICULTURE",1,6,48,9,,2,,,,,,,,,0
2,2,212,2,956,20060,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20060,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20060,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,212,2,956,20060,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20061,1,2,1,2,1,"CROP PRODUCTION",1311,"CROP PRODUCTION",1,8,18,9,,2,,,,,,,,,0
2,2,210,2,1300,20061,2,2,1,2,1,"CROP PRODUCTION",1311,"CROP PRODUCTION",1,8,14,9,,2,,,,,,,,,0
2,2,210,2,1300,20061,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20061,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20061,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20061,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,1,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,8,20,9,,2,,,,,,,,,0
2,2,210,2,1300,20062,2,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,8,23,9,,2,,,,,,,,,0
2,2,210,2,1300,20062,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,11,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20062,12,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,7,18,9,,2,,,,,,,,,0
2,2,210,2,1300,20063,1,2,1,1,1,"FARMING",6111,"AGRICULTURE",1,4,5,9,,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",8,6,60,9,,0
2,2,210,2,1300,20063,2,2,1,2,1,"FARMING",6111,"AGRICLTURE",1,4,5,9,,2,,,,,,,,,0
2,2,210,2,1300,20063,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20063,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20063,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20063,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20063,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,5,9,,2,,,,,,,,,0
2,2,210,2,1300,20063,8,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,8,9,,2,,,,,,,,,0
2,2,210,2,1300,20063,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,210,2,1300,20063,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
