"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
2,2,215,1,8,20089,2,1,1,1,1,"CROP FARMING",1311,"AGRICULTURE",1,6,13,9,,2,,,,,,,,,0
2,2,215,1,8,20089,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,215,1,8,20089,8,1,1,1,1,"CROP FARMING",1311,"AGRICULTURE",1,3,10,9,,2,,,,,,,,,0
2,2,215,1,8,20090,1,2,2,1,1,"CARPENTER",7124,"BUILDING AND CONSTRUCTION",43,12,48,9,,2,,,,,,,,,0
2,2,215,1,8,20090,2,2,1,2,1,"CROP FARMING",6114,"AGRICULTURE",1,8,30,9,,2,,,,,,,,,0
2,2,215,1,8,20090,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,207,2,1302,20098,1,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,8,36,9,,2,,,,,,,,,0
2,2,207,2,1302,20098,2,1,1,2,1,"TEACHING",3310,"TEACHING",11,12,40,2,,2,,,,,,,,,0
2,2,207,2,1302,20098,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,207,2,1302,20098,4,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,207,2,1302,20098,6,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,5,36,9,,2,,,,,,,,,0
2,2,207,2,1302,20099,1,1,1,2,1,"TEACHER",2320,"TEACHING",85,10,40,2,,2,,,,,,,,,0
2,2,207,2,1302,20099,2,2,1,2,1,"CROP GROWER",6114,"AGRICULTURE",1,6,12,9,,2,,,,,,,,,0
2,2,207,2,1302,20100,1,2,1,1,1,"FARMING",6111,"AGRICULTURE",1,6,48,9,,1,"TAILORING",7433,"SEWING OF CLOTHS",14,12,7,9,,0
