"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,105,2,638,10100,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,105,2,638,10100,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10103,1,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,35,9,,2,,,,,,,,,0
4,1,108,2,904,10103,2,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,35,9,,2,,,,,,,,,0
4,1,108,2,904,10103,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10103,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10103,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10103,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,1,"CROP FARMING","BUYING & SELLING",,,,"CROP FARMING",9211,,1,6,24,9,,1,"BUYING & SELLING",3416,"BUYING & SELLING OF VEGET",47,6,9,9,,0
4,1,108,2,904,10106,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10106,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10108,1,,,,,,,,,,,,,,,,,,,,,,,0
4,1,108,2,904,10108,2,"CROP FARMING","BUYING & SELLING",,,,"CROP FARMING",9211,,1,8,24,9,,1,"BUYING & SELLING",3416,"VEGETABLE SELLER",47,6,9,9,,0
2,2,209,2,1040,20007,1,"CROP FARMING","MOTOR MECHANIC",,,,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,31,9,,1,"MOTOR MECHANIC",7231,"FOOD BEVERAGE TESTER & GR",10,4,10,5,,0
2,2,209,2,1040,20007,2,"CROP FARMING",,,,,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,29,9,,2,,,,,,,,,0
2,2,209,2,1040,20007,3,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,4,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,5,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,6,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20007,7,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20008,1,"FARMING",,,,,"CROP FARMER",6111,"AGRICULTURE",1,5,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20008,2,"FARMING",,,,,"CROP FARMER",6111,"AGRICULTURE",1,5,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20008,3,"FARMING",,,,,"CROP FARMER",6111,"AGRICULTURE",1,5,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20008,4,"FARMING",,,,,"CROP FARMER",6111,"AGRICULTURE",1,5,40,9,,2,,,,,,,,,0
2,2,209,2,1040,20008,5,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20008,6,,,,,,,,,,,,,,,,,,,,,,,0
2,2,209,2,1040,20008,7,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,1,"FARMING","BUYING AND SELLING",,,,"FARMING AND LIVESTOCK",6111,"FARMING AND LIVESTOCK",1,5,37,9,,1,"BUYING AND SELLING",3416,"BUYING AND SELLING",47,6,7,9,,0
2,2,221,2,18,20018,2,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,3,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,4,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,5,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,6,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,7,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,8,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20018,9,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20020,1,,,,,,,,,,,,,,,,,,,,,,,0
2,2,221,2,18,20020,2,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,,47,6,84,9,,2,,,,,,,,,0
2,2,221,2,18,20020,3,"FARMING",,,,,"FARMER",6111,,1,6,25,9,,2,,,,,,,,,0
2,2,221,2,18,20020,4,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,,47,6,84,9,,2,,,,,,,,,0
2,2,221,2,18,20020,5,"FARMING",,,,,"FARMER",6111,,1,6,25,9,,2,,,,,,,,,0
2,2,221,2,18,20020,6,"FARMING",,,,,"FARMER",6111,,1,6,25,9,,2,,,,,,,,,0
2,2,221,2,18,20020,7,"BUYING AND SELLING",,,,,"BUYING AND SELLING",3416,,47,6,84,9,,2,,,,,,,,,0
