"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
2,5,515,2,18,50028,30,2,2,7,2,0
2,5,515,2,18,50029,41,2,2,7,2,0
2,5,515,2,18,50030,33,2,2,6,2,0
2,5,502,2,3878,50031,3,2,2,3,1,0
2,5,502,2,3878,50032,1,2,2,9,1,0
2,5,502,2,3878,50033,6,2,2,3,1,0
2,5,502,2,3878,50034,8,2,2,5,1,0
2,5,502,2,3878,50035,10,2,2,9,1,0
2,5,502,2,3878,50036,12,2,2,5,1,0
2,5,502,2,3878,50037,24,2,2,9,1,0
2,5,502,2,3878,50038,17,2,2,9,1,0
2,5,502,2,3878,50039,19,2,2,3,1,0
2,5,502,2,3878,50040,21,2,2,5,1,0
2,5,504,2,708,50042,5,3,3,7,2,0
2,5,504,2,708,50043,7,2,2,5,2,0
2,5,504,2,708,50044,8,2,2,6,2,0
2,5,504,2,708,50045,10,2,2,7,2,0
2,5,504,2,708,50046,11,2,2,6,2,0
2,5,504,2,708,50047,13,2,2,5,2,0
2,5,504,2,708,50048,16,2,2,6,2,0
2,5,504,2,708,50049,17,3,3,7,2,0
2,5,504,2,708,50050,20,2,2,5,2,0
2,5,513,2,348,50051,1,2,2,9,1,0
2,5,513,2,348,50052,5,2,2,3,1,0
2,5,513,2,348,50053,8,2,2,5,1,0
2,5,513,2,348,50054,12,2,2,9,1,0
2,5,513,2,348,50055,15,2,2,3,1,0
2,5,513,2,348,50056,19,2,2,3,1,0
2,5,513,2,348,50057,22,2,2,3,1,0
2,5,513,2,348,50058,26,2,2,9,1,0
2,5,513,2,348,50059,29,2,2,5,1,0
2,5,513,2,348,50060,26,2,2,5,1,0
2,5,514,2,710,50061,3,2,2,6,2,0
2,5,514,2,710,50062,7,2,2,7,2,0
2,5,514,2,710,50063,11,2,2,5,2,0
2,5,514,2,710,50064,23,2,2,6,2,0
2,5,514,2,710,50065,19,3,3,5,2,0
2,5,514,2,710,50066,23,2,2,6,2,0
2,5,514,2,710,50067,27,3,3,7,2,0
2,5,514,2,710,50068,31,2,2,7,2,0
2,5,514,2,710,50069,35,2,2,5,2,0
2,5,514,2,710,50070,39,2,2,5,2,0
2,5,501,2,60,50071,1,2,2,,,0
2,5,501,2,60,50072,3,2,2,3,1,0
2,5,501,2,60,50073,4,2,2,5,1,0
2,5,501,2,60,50074,6,2,2,5,1,0
2,5,501,2,60,50076,6,1,2,9,1,0
2,5,501,2,60,50077,11,2,2,3,1,0
2,5,501,2,60,50079,15,2,2,5,1,0
2,5,501,2,60,50080,17,2,2,5,1,0
2,5,516,2,942,50081,1,2,2,7,2,0
2,5,516,2,942,50082,3,2,2,5,2,0
2,5,516,2,942,50083,4,2,2,6,2,0
2,5,516,2,942,50084,6,2,2,6,2,0
2,5,516,2,942,50085,7,2,2,7,2,0
2,5,516,2,942,50086,9,2,2,7,2,0
2,5,516,2,942,50087,11,2,2,7,2,0
2,5,516,2,942,50088,12,2,2,7,2,0
2,5,516,2,942,50089,14,2,2,5,2,0
2,5,508,2,984,50091,2,2,2,5,1,0
2,5,508,2,984,50092,6,2,2,5,1,0
2,5,508,2,984,50093,9,2,2,9,1,0
2,5,508,2,984,50094,13,2,2,9,1,0
2,5,508,2,984,50095,16,2,2,5,1,0
2,5,508,2,984,50096,20,2,2,9,1,0
2,5,508,2,984,50097,24,2,2,9,1,0
2,5,508,2,984,50098,27,2,2,3,1,0
2,5,508,2,984,50099,31,2,2,3,1,0
2,5,508,2,984,50100,34,2,2,3,1,0
2,5,514,1,2036,50101,1,2,2,5,2,0
2,5,514,1,2036,50102,2,2,2,5,2,0
2,5,514,1,2036,50107,10,2,2,5,2,0
2,5,514,1,2036,50109,13,2,2,7,2,0
2,5,514,1,2036,50110,14,3,3,7,2,0
2,5,508,2,718,50112,23,2,2,9,1,0
2,5,508,2,718,50113,5,2,2,3,1,0
2,5,508,2,718,50114,8,2,2,9,1,0
2,5,508,2,718,50115,10,2,2,9,1,0
2,5,508,2,718,50116,12,2,2,3,1,0
2,5,508,2,718,50117,14,2,2,3,1,0
2,5,508,2,718,50118,16,2,2,5,1,0
2,5,508,2,718,50119,19,2,2,5,1,0
2,5,508,2,718,50120,21,2,2,5,1,0
2,5,510,1,872,50124,4,2,2,6,2,0
2,5,510,1,872,50125,5,3,3,7,2,0
2,5,518,2,1588,50131,1,2,2,9,1,0
2,5,518,2,1588,50132,3,2,2,5,1,0
2,5,518,2,1588,50133,26,2,2,9,1,0
2,5,518,2,1588,50134,8,2,2,5,1,0
2,5,518,2,1588,50135,11,2,2,9,1,0
2,5,518,2,1588,50136,13,2,2,3,1,0
2,5,518,2,1588,50137,28,2,2,3,1,0
2,5,518,2,1588,50138,18,2,2,3,1,0
2,5,518,2,1588,50139,21,2,2,2,1,0
2,5,510,2,1516,50141,2,2,2,6,2,0
2,5,510,2,1516,50142,7,2,2,6,2,0
2,5,510,2,1516,50143,13,2,2,7,2,0
2,5,510,2,1516,50144,18,2,2,7,2,0
2,5,510,2,1516,50145,23,2,2,6,2,0
2,5,510,2,1516,50146,28,3,3,7,2,0
2,5,510,2,1516,50147,34,2,2,5,2,0
2,5,510,2,1516,50148,39,2,2,7,2,0
2,5,510,2,1516,50149,44,2,2,5,2,0
2,5,510,2,1516,50150,49,2,2,5,2,0
2,5,518,2,1304,50151,1,2,2,9,1,0
2,5,518,2,1304,50152,3,2,2,9,1,0
2,5,518,2,1304,50153,19,2,2,5,1,0
2,5,518,2,1304,50154,6,2,2,9,1,0
2,5,518,2,1304,50155,8,2,2,3,1,0
2,5,518,2,1304,50156,10,2,2,3,1,0
2,5,518,2,1304,50157,12,2,2,3,1,0
