"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12a4","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq12b4","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18a4","sa9aq18b1","sa9aq18b2","sa9aq18b3","sa9aq18b4","tracked_obs"
1,7,713,2,304,70152,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70152,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,2,"Tilapia",,1,12,3,2,,,2,2,3000,12000,3,3000,10,1,2,,,2,1,2,,,,,,,0,,0,0,,0,,1,2,3,,,,,,0
1,7,713,2,304,70153,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,5,"Other (specify)",,1,12,1,3,,,1,3,7000,1000,3,7000,10,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70153,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70154,1,"Catfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70154,2,"Tilapia",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70154,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70154,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,7,713,2,304,70154,5,"Other (specify)",,1,36,12,3,,,10,3,2500,10000,3,5000,24,1,3,,,18,1,3,3,,,,,,1,3,3500,,,,32,3,2,2,,,,,,0
