"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,117,2,560,10080,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,117,2,560,10080,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,1,"MILK",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,2,"EGGS",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,3,"HONEY",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,110,2,76,10082,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,1,"MILK",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,2,"EGGS",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,3,"HONEY",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,110,2,76,10086,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,1,"MILK",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,2,"EGGS",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,3,"HONEY",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,110,2,76,10087,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,1,"MILK",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,2,"EGGS",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,3,"HONEY",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,110,2,76,10088,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,1,"MILK",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,2,"EGGS",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,3,"HONEY",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,110,2,76,10089,6,"MUSHROOMS",,2,,,,,,,,,,,,0
