"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,4,401,1,1460,40094,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40094,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,1,1460,40094,1,4,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,412,2,2592,40110,2,2,"LOCAL PEAR",3221,1,3,1,1980,0,,,,,2,,,0,,0
4,4,412,2,2592,40110,3,2,"PALM TREE",3183,5,3,5,1990,0,,,,,2,,,0,,0
4,4,412,2,2592,40110,3,3,"PLANTAIN",2170,10,3,10,1990,0,,,,,2,,,0,,0
4,4,412,2,1606,40118,2,4,"PLANTAIN",2170,8,3,8,2000,0,9,2011,1,2012,2,,,200,41,0
4,4,412,2,1606,40118,2,5,"PAW PAW",3210,2,3,2,2011,0,9,2011,1,2012,2,,,0,,0
4,4,412,2,1606,40118,2,6,"COCONUT",3050,1,3,1,2005,0,1,2011,12,2011,2,,,0,,0
4,4,412,2,1606,40118,2,7,"ORANGE",3170,1,3,1,1980,0,7,2011,12,2011,2,,,1000,1,0
4,4,412,2,1606,40120,1,4,"BANANA",2030,6,3,6,2000,0,9,2011,1,2012,2,,,100,42,0
4,4,412,2,1606,40120,1,5,"PLANTAIN",2170,6,3,6,2000,0,9,2011,1,2012,2,,,200,42,0
4,4,412,2,1606,40120,1,6,"PAWPAW",3210,3,3,3,2011,0,9,2011,1,2012,2,,,0,,0
4,4,410,2,4036,40130,1,2,"PLANTAIN",2170,60,3,999,2010,0,3,2012,10,2012,2,,,800,42,0
4,4,407,2,796,40140,3,1,"PLANTAIN",2170,60,3,60,2012,40,,,,,2,,,0,,0
4,4,410,1,3192,40144,1,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40144,2,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40144,3,1,"PLANTAIN",2170,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40144,4,1,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40146,1,1,"CASSAVA",1020,6,3,6,1984,0,12,2012,1,2013,2,,,2000,42,0
4,4,410,1,3192,40146,2,1,"YAM",1120,4,3,4,1980,0,12,2012,1,2013,2,,,900,42,0
4,4,410,1,3192,40147,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40147,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40147,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40147,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40148,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40148,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40148,1,3,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,410,1,3192,40148,1,4,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,410,1,3414,40152,1,1,"MAIZE",1080,0,,,,,,,,,,,,,,0
