"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,105,2,638,10093,1,1,1020,1000,1,,1,,4,2010,1050,1,,
4,1,105,2,638,10094,1,1,1020,880,1,,4,,4,2010,700,1,,
4,1,105,2,638,10094,1,2,1080,100,3,,4,,4,2010,1000,3,,
4,1,105,2,638,10094,1,3,2193,20,1,,4,,4,2010,30,4,"BUNDLE",
4,1,105,2,638,10094,2,1,1020,1000,1,,4,,4,2010,500,1,,
4,1,105,2,638,10094,2,2,1080,100,3,,4,,4,2010,900,3,,
4,1,105,2,638,10094,2,3,2120,100,3,,4,,4,2010,20,1,,
4,1,105,2,638,10094,3,1,1020,800,1,,4,,4,2010,1200,1,,
4,1,105,2,638,10094,3,2,1080,200,1,,4,,4,2010,800,3,,
4,1,105,2,638,10094,3,3,1090,100,1,,4,,4,2010,200,4,"CUP",2
4,1,105,2,638,10095,1,1,1020,600,1,,4,,3,2010,75,1,,
4,1,105,2,638,10095,1,2,1080,40,3,,4,,3,2010,0,,,
4,1,105,2,638,10096,1,1,1020,840,1,,3,,3,2010,400,1,,1
4,1,105,2,638,10096,3,1,1020,400,1,,3,,3,2010,200,1,,2
4,1,105,2,638,10096,3,2,1080,86,3,,3,,3,2010,86,3,,1
4,1,105,2,638,10096,4,1,1020,310,1,,3,,3,2010,155,1,,1
