"zone","state","lga","sector","ea","pid","sc1q3","sc1q4","sc1q5a","sc1q5b","sc1q6","sc1q7"
2,5,501,2,60,3,1,,8,,35,26
2,5,501,2,60,4,1,,6,,25,51
2,5,501,2,60,5,2,,11,,15,26
2,5,502,1,2194,1,1,,1,,55,0
2,5,502,1,2194,2,1,,8,,5,16
2,5,502,1,2194,3,1,,3,,50,0
2,5,502,1,2194,4,1,,3,,28,41
2,5,502,1,2194,5,1,,3,,42,41
2,5,502,2,3878,1,1,,1,,65,0
2,5,502,2,3878,2,1,,9,,30,34
2,5,502,2,3878,3,1,,9,,19,23
2,5,502,2,3878,4,1,,6,,22,26
2,5,502,2,3878,5,1,,6,,20,23
2,5,504,2,708,1,1,,1,,85,0
2,5,504,2,708,2,1,,9,,68,0
2,5,504,2,708,3,1,,11,,26,23
2,5,504,2,708,4,2,,11,,25,0
2,5,504,2,708,5,1,,2,,48,16
2,5,506,2,830,1,1,,1,,41,16
2,5,506,2,830,2,1,,3,,45,16
2,5,506,2,830,3,1,,11,,47,26
2,5,506,2,830,4,1,,9,,41,0
2,5,506,2,830,5,1,,5,,26,32
2,5,508,2,718,1,1,,1,,40,26
2,5,508,2,718,2,1,,9,,20,51
2,5,508,2,718,3,1,,8,3,33,23
2,5,508,2,718,4,1,,8,,33,23
2,5,508,2,718,5,1,,6,,33,23
2,5,508,2,984,1,1,,1,,80,51
2,5,508,2,984,2,1,,3,,42,16
2,5,508,2,984,3,1,,9,,50,51
2,5,508,2,984,4,1,,11,,25,16
2,5,508,2,984,5,1,,11,,25,16
2,5,508,2,984,6,1,,7,,45,41
2,5,510,1,872,1,1,,1,,15,32
2,5,510,1,872,2,2,,2,,15,34
2,5,510,1,872,3,1,,11,,5,51
2,5,510,1,872,4,1,,9,,5,51
2,5,510,1,872,5,2,,11,,5,51
2,5,510,2,1516,1,1,,1,,55,26
2,5,510,2,1516,2,1,,9,,50,51
2,5,510,2,1516,3,1,,11,11,25,51
2,5,510,2,1516,4,2,,11,11,25,16
2,5,510,2,1516,5,1,,3,,27,26
2,5,513,2,348,1,1,,1,,38,31
2,5,513,2,348,2,1,,9,,25,51
2,5,513,2,348,3,1,,5,,25,26
2,5,513,2,348,4,1,,2,,30,26
2,5,513,2,348,5,1,,6,,31,26
2,5,514,2,710,1,1,,1,,57,26
2,5,514,2,710,2,1,,9,,57,51
2,5,514,2,710,3,1,,8,,50,16
2,5,514,2,710,4,2,,11,,60,16
2,5,514,2,710,5,1,,11,,37,16
2,5,514,1,2036,1,1,,1,,,0
2,5,514,1,2036,2,2,,2,,30,
2,5,514,1,2036,3,1,,9,,15,
2,5,514,1,2036,4,1,,9,,26,
2,5,514,1,2036,5,2,,7,,20,
2,5,515,2,18,1,1,,1,,36,0
2,5,515,2,18,2,1,,9,,15,51
2,5,515,2,18,3,2,,,,25,0
2,5,515,2,18,4,2,,2,,36,0
2,5,515,2,18,5,1,,,,26,51
2,5,516,2,942,1,1,,1,,54,51
2,5,516,2,942,2,1,,9,,64,51
2,5,516,2,942,3,1,,8,,60,51
