"zone","state","lga","sector","ea","item_cd","sc2q2","sc2q3a","sc2q3b","sc2q3c"
1,22,2203,2,530,33,1,10,1,2
1,22,2203,2,530,35,1,300,1,41
1,22,2203,2,530,36,1,20,1,6
1,22,2203,2,530,37,1,20,1,6
1,22,2203,2,530,40,1,150,1,6
1,22,2203,2,530,41,1,20,1,2
1,22,2203,2,530,42,1,20,1,2
1,22,2203,2,530,43,1,10,1,2
1,22,2203,2,530,44,1,100,1,6
1,22,2203,2,530,50,1,50,1,2
1,22,2203,2,530,51,1,50,1,6
1,22,2203,2,530,52,1,60,1,2
1,22,2203,2,530,53,1,50,1,2
1,22,2203,2,530,60,1,10,60,102
1,22,2203,2,530,61,1,5,106,102
1,22,2203,2,530,64,1,20,70,102
1,22,2203,2,530,70,1,50,1,
1,22,2203,2,530,72,1,5,20,102
1,22,2203,2,530,73,1,40,1,6
1,22,2203,2,530,74,1,40,1,6
1,22,2203,2,530,75,1,20,1,2
1,22,2203,2,530,76,1,20,1,2
1,22,2203,2,530,77,1,20,120,102
1,22,2203,2,530,78,1,50,1,2
1,22,2203,2,530,80,1,500,1,106
1,22,2203,2,530,81,1,800,1,106
1,22,2203,2,530,82,1,100,1,106
1,22,2203,2,530,83,1,30,1,106
1,22,2203,2,530,84,1,30,1,106
1,22,2203,2,530,85,1,50,1,106
1,22,2203,2,530,90,1,20,10,102
1,22,2203,2,530,91,1,20,10,102
1,22,2203,2,530,93,1,20,10,102
