"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,109,1214,2,19089,3,850,1,2,4,,,,1,1,,,
4,1,109,1214,2,19089,4,669.24,7,,,,,,2,,,,
4,1,109,1214,2,19091,1,800,1,2,4,,,,1,1,,,
4,1,109,1214,2,19091,2,300,3,2,4,,,,1,1,,,
4,1,109,1214,2,19091,3,1000,1,1,,,,5063,1,1,,,
4,1,109,1214,2,19091,4,200,1,1,,,,579.62,1,1,,,
4,1,109,1214,2,19091,5,500,1,2,4,,,,1,1,,,
4,1,109,1214,2,19091,6,98,7,,,,,,2,,,,
4,1,109,1214,2,19092,1,400,1,1,,,,283.78,1,1,2,,
4,1,109,1214,2,19092,2,500,1,2,1,,,,1,1,2,,
4,1,109,1214,2,19093,1,380,1,1,,,,850.24,1,1,,,
4,1,109,1214,2,19093,2,410,1,2,4,,,,1,1,,,
4,1,109,1214,2,19093,3,375,1,2,4,,,,1,1,,,
4,1,109,1214,2,19093,4,385,1,2,4,,,,1,1,,,
4,1,109,1214,2,19093,5,250,1,2,4,,,,1,1,,,
4,1,109,1214,2,19094,1,750,1,1,,,,1139.9,1,1,2,3,4
4,1,109,1214,2,19094,2,50,3,,,,,,2,,,,
4,1,109,1214,2,19094,3,650,1,1,,,,800.61,1,1,2,3,4
4,1,109,1214,2,19094,4,550,7,,,,,,2,,,,
4,1,109,1214,2,19095,1,150,1,1,,,,425.31,1,1,2,,
4,1,109,1214,2,19095,2,350,1,,,,,,2,,,,
4,1,109,1214,2,19095,3,400,1,2,4,,,,1,1,2,,
4,1,109,1214,2,19095,4,89.9,7,,,,,,2,,,,
4,1,109,1214,2,19096,1,300,1,2,4,,,,1,1,,,
4,1,109,1214,2,19096,2,200,1,1,,,,610.87,1,1,,,
4,1,109,1214,2,19096,3,58.85,7,,,,,,2,,,,
4,1,109,1214,2,19096,4,180,1,1,,,,898.16,1,1,,,
4,1,109,1792,2,19097,1,2000,1,1,,,,1263.5,1,1,,,
4,1,109,1792,2,19097,2,3050,1,1,,,,3462.9,1,1,,,
4,1,109,1792,2,19097,4,1200,1,1,,,,1873.4,1,1,,,
4,1,109,1792,2,19097,5,2,5,,,,,,2,,,,
4,1,109,1792,2,19098,1,380,1,2,1,,,,1,1,,,
4,1,109,1792,2,19098,2,400,1,2,1,,,,1,1,,,
4,1,109,1792,2,19098,3,1,5,,,,,,2,,,,
4,1,109,1792,2,19098,4,120.12,7,,,,,,2,,,,
4,1,109,1792,2,19098,5,1,5,,,,,,2,,,,
4,1,109,1792,2,19099,1,300,1,2,1,,,,1,2,1,,
