"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
5,10,1022,1,386,"1022-386",708,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",709,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",710,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",711,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",712,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",713,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",714,2,,,,,,,,,,,,,,,
5,10,1022,1,386,"1022-386",715,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",701,1,,10,,2,,,,,,,,,,,
5,10,1023,2,346,"1023-346",702,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",703,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",704,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",705,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",706,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",707,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",708,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",709,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",710,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",711,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",712,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",713,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",714,2,,,,,,,,,,,,,,,
5,10,1023,2,346,"1023-346",715,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",701,1,,3,,1,1,1,0,0,0,0,0,0,0,0,
5,10,1025,2,1774,"1025-1774",702,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",703,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",704,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",705,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",706,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",707,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",708,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",709,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",710,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",711,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",712,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",713,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",714,2,,,,,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",715,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",701,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",702,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",703,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",704,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",705,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",706,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",707,2,,,,,,,,,,,,,,,
4,1,104,2,1020,"104-1020",708,2,,,,,,,,,,,,,,,
