"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
2,2,210,2,924,29063,,,,,,,,,2,,,,
2,2,210,2,924,29064,,,,,,,,,2,,,,
2,2,210,2,924,29065,,,,,,,,,2,,,,
2,2,210,2,924,29066,,,,,,,,,2,,,,
2,2,210,2,924,29068,,,,,,,,,2,,,,
2,2,210,2,924,29070,,,,,,,,,2,,,,
2,2,210,2,924,29071,,,,,,,,,2,,,,
2,2,210,2,924,29072,,,,,,,,,2,,,,
2,2,211,2,344,29073,,,,,,,,,2,,,,
2,2,211,2,344,29074,,,,,,,,,2,,,,
2,2,211,2,344,29076,,,,,,,,,2,,,,
2,2,211,2,344,29077,,,,,,,,,2,,,,
2,2,211,2,344,29078,,,,,,,,,2,,,,
2,2,211,2,344,29079,,,,,,,,,2,,,,
2,2,211,2,344,29080,,,,,,,,,2,,,,
2,2,211,2,344,29082,,,,,,,,,2,,,,
2,2,211,2,344,29083,,,,,,,,,2,,,,
2,2,211,2,344,29084,,,,,,,,,2,,,,
2,2,211,2,532,29085,,,,,,,,,2,,,,
2,2,211,2,532,29086,3,8,7,,6,10,,,,,,,
2,2,211,2,532,29087,,,,,,,,,2,,,,
2,2,211,2,532,29089,,,,,,,,,2,,,,
2,2,211,2,532,29090,,,,,,,,,2,,,,
2,2,211,2,532,29091,,,,,,,,,2,,,,
2,2,211,2,532,29092,,,,,,,,,2,,,,
2,2,211,2,532,29094,,,,,,,,,2,,,,
2,2,211,2,532,29095,,,,,,,,,2,,,,
2,2,211,2,532,29096,,,,,,,,,2,,,,
2,2,211,2,668,29097,,,,,,,,,2,,,,
2,2,211,2,668,29099,,,,,,,,,2,,,,
2,2,211,2,668,29100,,,,,,,,,2,,,,
2,2,211,2,668,29101,,,,,,,,,2,,,,
2,2,211,2,668,29102,,,,,,,,,2,,,,
2,2,211,2,668,29103,,,,,,,,,2,,,,
2,2,211,2,668,29104,,,,,,,,,1,6,2,4,
2,2,211,2,668,29105,,,,,,,,,2,,,,
2,2,211,2,668,29107,,,,,,,,,2,,,,
2,2,211,2,668,29108,,,,,,,,,2,,,,
