"zone","state","lga","sector","ea","cluster_id","farmer_id","c9q1","c9q4","c9q2b"
2,2,220,2,112,"220-112",2,1,3,1110
1,22,2203,2,2578,"2203-2578",1,1,3,1020
1,22,2203,2,2578,"2203-2578",2,1,3,1020
1,22,2203,2,266,"2203-266",1,1,3,1020
1,22,2203,2,266,"2203-266",2,1,3,2020
1,22,2208,2,194,"2208-194",1,1,2,1070
1,22,2208,2,194,"2208-194",2,1,2,1070
1,22,2208,2,642,"2208-642",1,1,2,1110
1,22,2208,2,642,"2208-642",2,1,2,1110
2,2,221,1,750,"221-750",1,1,2,1110
2,2,221,1,750,"221-750",2,1,2,1110
1,22,2211,2,594,"2211-594",1,1,2,1110
1,22,2211,2,594,"2211-594",2,1,2,1020
1,22,2213,1,100,"2213-100",1,1,2,1121
1,22,2213,1,100,"2213-100",2,1,2,1121
1,22,2216,1,270,"2216-270",1,1,2,1020
1,22,2216,1,270,"2216-270",2,1,2,1020
1,22,2216,1,428,"2216-428",1,1,1,1121
1,22,2216,1,428,"2216-428",2,1,1,1121
1,22,2216,1,588,"2216-588",1,1,1,1121
1,22,2216,1,588,"2216-588",2,1,1,1121
1,22,2220,1,1296,"2220-1296",1,1,2,1121
1,22,2220,1,1296,"2220-1296",2,1,2,1121
1,23,2302,2,1982,"2302-1982",1,1,2,1070
1,23,2302,2,1982,"2302-1982",2,2,,
1,23,2303,2,68,"2303-68",1,1,2,1080
1,23,2303,2,68,"2303-68",2,2,,
1,23,2303,2,828,"2303-828",1,1,2,1110
1,23,2303,2,828,"2303-828",2,2,,
1,23,2304,2,322,"2304-322",1,1,2,1020
1,23,2304,2,322,"2304-322",2,1,1,1020
1,23,2304,2,432,"2304-432",1,1,1,1020
1,23,2304,2,432,"2304-432",2,1,1,1020
1,23,2305,2,174,"2305-174",1,1,3,1020
1,23,2305,2,174,"2305-174",2,1,3,1020
1,23,2306,1,78,"2306-78",1,1,1,1070
1,23,2306,1,78,"2306-78",2,1,1,1070
1,23,2307,1,2316,"2307-2316",1,2,,
1,23,2307,1,2316,"2307-2316",2,2,,
1,23,2308,1,5126,"2308-5126",1,2,,
1,23,2308,1,5126,"2308-5126",2,2,,
1,23,2308,1,88,"2308-88",1,1,2,1020
1,23,2308,1,88,"2308-88",2,1,3,1070
1,23,2309,1,1224,"2309-1224",1,1,1,1121
1,23,2309,1,1224,"2309-1224",2,2,,
1,23,2309,2,1574,"2309-1574",1,1,3,1020
1,23,2309,2,1574,"2309-1574",2,1,3,1020
1,23,2309,2,740,"2309-740",1,1,2,1020
1,23,2309,2,740,"2309-740",2,1,2,2141
1,23,2310,2,30,"2310-30",1,1,1,1070
1,23,2310,2,30,"2310-30",2,1,1,1080
1,23,2310,2,496,"2310-496",1,1,3,1020
1,23,2310,2,496,"2310-496",2,1,3,1080
1,23,2311,2,1600,"2311-1600",1,1,3,1121
1,23,2311,2,1600,"2311-1600",2,1,3,1121
1,23,2311,2,516,"2311-516",1,1,3,1124
1,23,2311,2,516,"2311-516",2,1,3,1121
1,23,2313,1,382,"2313-382",1,2,,
1,23,2313,1,382,"2313-382",2,2,,
1,23,2314,2,354,"2314-354",1,1,3,1020
1,23,2314,2,354,"2314-354",2,1,2,1020
1,23,2316,2,1442,"2316-1442",1,1,3,1110
1,23,2316,2,1442,"2316-1442",2,1,3,1110
1,23,2316,2,614,"2316-614",1,1,2,1110
1,23,2316,2,614,"2316-614",2,2,,
6,24,2401,1,1664,"2401-1664",1,2,,
6,24,2401,1,1664,"2401-1664",2,2,,
6,24,2401,1,396,"2401-396",1,2,,
