"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
1,7,708,2,754,70011,1,5,,1,,,3,,50000,1,1,2,2,,,,,1,1,2,50000,1,4,2018,2,,,12,2018,55000
1,7,708,2,754,70012,1,5,,1,,,3,,15000,4,2,2,1,6,,,,,,,,,,,,,,,,
1,7,708,2,754,70013,1,5,,1,,,2,,50000,1,0,,2,,,,,1,0,,50000,1,4,2018,2,,,11,2018,55000
1,7,711,2,2532,70062,1,5,,2,,,6,,5000,1,0,,2,,,,,1,0,,5000,1,4,2018,2,,,12,2018,5500
1,7,711,2,2532,70063,1,5,,2,,,5,,50000,1,2,3,2,,,,,1,2,3,30000,2,7,2017,2,,,10,2018,33000
1,7,711,2,2532,70066,1,5,,1,,,2,,100000,1,0,,2,,,,,1,0,,100000,1,7,2017,2,,,11,2018,100000
1,7,709,2,1226,70074,1,5,,3,,,7,,11000,1,0,,2,,,,,1,0,,10000,1,10,2017,2,,,8,2018,11000
1,7,713,2,304,70153,1,3,,1,,,3,,200000,4,0,,1,6,,,,,,,,,,,,,,,,
1,7,713,2,304,70155,1,5,,2,,,5,,50000,1,0,,2,,,,,1,0,,50000,1,6,2018,2,,,11,2018,55000
1,7,701,2,104,79002,1,3,,1,,,11,,60000,1,2,2,2,,,,,1,4,1,60000,1,12,2017,2,,,7,2018,70000
1,7,701,2,104,79007,1,4,,1,,,5,,400000,4,0,,1,6,,,,,,,,,,,,,,,,
1,7,704,2,10,79028,1,5,,1,,,3,,50000,1,2,3,2,,,,,1,0,,40000,1,5,2018,2,,,11,2018,48000
1,7,704,2,10,79030,1,5,,1,9,,2,,5000,1,0,,2,,,,,1,0,,5000,1,1,2018,1,7,2018,,,5000
1,7,705,1,3834,79039,1,5,,1,,,2,,120000,1,0,,2,,,,,1,0,,120000,2,4,2018,2,,,10,2018,121200
1,7,705,1,3834,79041,1,5,,1,,,8,,30000,1,0,,2,,,,,1,0,,25000,1,12,2017,2,,,10,2018,27500
1,7,705,1,3834,79042,1,5,,1,,,3,,30000,1,0,,2,,,,,1,0,,20000,2,6,2018,2,,,11,2018,22000
1,7,705,1,3834,79045,1,5,,1,,,9,,135000,1,0,,2,,,,,1,0,,135000,1,7,2017,1,12,2017,,,135000
1,7,705,1,3834,79046,1,9,"THE BOSS AT BARBING SHOP WERE HE WORKS",1,,,10,,10000,1,0,,2,,,,,1,0,,10000,2,2,2018,2,,,12,2018,10000
1,7,713,1,694,79053,1,4,,1,,,4,,750000,2,1,3,2,,,,,2,,,,,,,,,,,,
1,7,716,2,458,79069,1,6,,1,,,5,,500000,1,3,1,2,,,,,1,0,,250000,2,7,2017,1,12,2017,,,250000
1,7,717,2,478,79074,1,1,,1,,,2,,200000,4,10,3,1,6,,,,,,,,,,,,,,,,
1,7,717,2,478,79074,2,9,"GOVERNMENT",1,,,2,,1000000,4,10,3,1,6,,,,,,,,,,,,,,,,
1,7,717,2,478,79075,1,9,"COMMUNITY MEETING GROUP",1,,,8,,30000,1,0,,2,,,,,1,0,,30000,1,3,2018,2,,,8,2018,38000
1,7,718,2,504,79088,1,6,,1,,,6,,500000,1,1,3,2,,,,,1,2,3,500000,1,1,2018,1,2,2018,,,550000
1,7,721,2,2400,79122,1,5,,1,,,3,,50000,1,3,2,2,,,,,1,3,2,40000,1,3,2018,2,,,12,2018,44000
1,7,723,2,1088,79133,1,4,,1,,,2,,500000,4,6,3,1,2,,,,,,,,,,,,,,,,
1,7,723,2,1088,79137,1,5,,1,,,2,,7000,1,0,,2,,,,,1,0,,7000,1,8,2017,1,1,2018,,,7000
1,7,723,2,1088,79140,1,5,,1,,,12,,6000,1,0,,2,,,,,1,0,,4000,1,4,2018,2,,,8,2018,4400
