"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
5,12,1209,1,566,"1209-566",4,0,,
5,12,1209,1,566,"1209-566",5,1,3,1
5,12,1209,1,566,"1209-566",6,1,1,1
5,12,1209,1,566,"1209-566",7,1,1,1
5,12,1211,1,1250,"1211-1250",1,1,3,1
5,12,1211,1,1250,"1211-1250",2,1,2,1
5,12,1211,1,1250,"1211-1250",3,0,,
5,12,1211,1,1250,"1211-1250",4,0,,
5,12,1211,1,1250,"1211-1250",5,1,3,1
5,12,1211,1,1250,"1211-1250",6,1,3,1
5,12,1211,1,1250,"1211-1250",7,1,1,1
5,12,1211,1,2856,"1211-2856",1,1,3,1
5,12,1211,1,2856,"1211-2856",2,1,2,1
5,12,1211,1,2856,"1211-2856",3,0,,
5,12,1211,1,2856,"1211-2856",4,0,,
5,12,1211,1,2856,"1211-2856",5,1,3,1
5,12,1211,1,2856,"1211-2856",6,1,3,1
5,12,1211,1,2856,"1211-2856",7,1,1,1
5,12,1211,1,446,"1211-446",1,1,3,1
5,12,1211,1,446,"1211-446",2,1,2,1
5,12,1211,1,446,"1211-446",3,0,,
5,12,1211,1,446,"1211-446",4,0,,
5,12,1211,1,446,"1211-446",5,1,2,1
5,12,1211,1,446,"1211-446",6,1,3,1
5,12,1211,1,446,"1211-446",7,1,1,1
5,12,1212,1,2598,"1212-2598",1,1,3,1
5,12,1212,1,2598,"1212-2598",2,1,2,1
5,12,1212,1,2598,"1212-2598",3,0,,
5,12,1212,1,2598,"1212-2598",4,0,,
5,12,1212,1,2598,"1212-2598",5,1,2,1
5,12,1212,1,2598,"1212-2598",6,1,3,1
5,12,1212,1,2598,"1212-2598",7,1,1,2
5,12,1214,2,452,"1214-452",1,0,,
5,12,1214,2,452,"1214-452",2,1,1,1
5,12,1214,2,452,"1214-452",3,0,,
5,12,1214,2,452,"1214-452",4,0,,
5,12,1214,2,452,"1214-452",5,1,3,1
5,12,1214,2,452,"1214-452",6,0,,
5,12,1214,2,452,"1214-452",7,1,2,1
5,12,1215,2,810,"1215-810",1,0,,
5,12,1215,2,810,"1215-810",2,1,2,1
5,12,1215,2,810,"1215-810",3,0,,
5,12,1215,2,810,"1215-810",4,0,,
5,12,1215,2,810,"1215-810",5,1,2,1
5,12,1215,2,810,"1215-810",6,1,3,1
5,12,1215,2,810,"1215-810",7,1,2,1
5,12,1216,2,618,"1216-618",1,0,,
5,12,1216,2,618,"1216-618",2,1,3,2
5,12,1216,2,618,"1216-618",3,1,1,1
5,12,1216,2,618,"1216-618",4,1,2,1
5,12,1216,2,618,"1216-618",5,1,1,1
5,12,1216,2,618,"1216-618",6,0,,
5,12,1216,2,618,"1216-618",7,0,,
5,12,1216,1,694,"1216-694",1,1,3,1
5,12,1216,1,694,"1216-694",2,1,3,1
5,12,1216,1,694,"1216-694",3,1,2,1
5,12,1216,1,694,"1216-694",4,1,3,1
5,12,1216,1,694,"1216-694",5,1,3,2
5,12,1216,1,694,"1216-694",6,1,1,1
5,12,1216,1,694,"1216-694",7,1,1,1
5,12,1218,1,196,"1218-196",1,1,3,1
5,12,1218,1,196,"1218-196",2,1,1,1
5,12,1218,1,196,"1218-196",3,0,,
5,12,1218,1,196,"1218-196",4,0,,
5,12,1218,1,196,"1218-196",5,1,1,1
5,12,1218,1,196,"1218-196",6,1,2,1
5,12,1218,1,196,"1218-196",7,1,2,1
6,13,1301,1,688,"1301-688",1,1,3,1
6,13,1301,1,688,"1301-688",2,0,,
6,13,1301,1,688,"1301-688",3,1,3,1
6,13,1301,1,688,"1301-688",4,1,3,1
6,13,1301,1,688,"1301-688",5,1,3,1
6,13,1301,1,688,"1301-688",6,1,3,1
6,13,1301,1,688,"1301-688",7,1,3,1
6,13,1303,1,626,"1303-626",1,1,3,1
6,13,1303,1,626,"1303-626",2,1,2,1
6,13,1303,1,626,"1303-626",3,1,2,1
6,13,1303,1,626,"1303-626",4,1,2,1
6,13,1303,1,626,"1303-626",5,1,2,1
6,13,1303,1,626,"1303-626",6,1,3,1
6,13,1303,1,626,"1303-626",7,1,3,1
6,13,1303,1,80,"1303-80",1,1,3,1
6,13,1303,1,80,"1303-80",2,1,2,1
6,13,1303,1,80,"1303-80",3,1,3,1
6,13,1303,1,80,"1303-80",4,1,2,1
6,13,1303,1,80,"1303-80",5,1,2,1
6,13,1303,1,80,"1303-80",6,1,2,1
6,13,1303,1,80,"1303-80",7,1,2,1
6,13,1306,1,140,"1306-140",1,1,3,1
6,13,1306,1,140,"1306-140",2,0,,
6,13,1306,1,140,"1306-140",3,0,,
6,13,1306,1,140,"1306-140",4,1,3,1
6,13,1306,1,140,"1306-140",5,1,2,1
6,13,1306,1,140,"1306-140",6,0,,
6,13,1306,1,140,"1306-140",7,1,2,1
6,13,1306,1,342,"1306-342",1,0,,
6,13,1306,1,342,"1306-342",2,1,3,1
6,13,1306,1,342,"1306-342",3,0,,
6,13,1306,1,342,"1306-342",4,1,3,1
6,13,1306,1,342,"1306-342",5,1,3,1
6,13,1306,1,342,"1306-342",6,1,3,1
6,13,1306,1,342,"1306-342",7,0,,
6,13,1307,1,1002,"1307-1002",1,1,3,1
6,13,1307,1,1002,"1307-1002",2,1,3,1
6,13,1307,1,1002,"1307-1002",3,1,3,1
6,13,1307,1,1002,"1307-1002",4,1,2,1
6,13,1307,1,1002,"1307-1002",5,1,2,1
6,13,1307,1,1002,"1307-1002",6,1,2,2
6,13,1307,1,1002,"1307-1002",7,1,2,1
6,13,1307,1,1178,"1307-1178",1,1,3,1
6,13,1307,1,1178,"1307-1178",2,1,3,1
6,13,1307,1,1178,"1307-1178",3,1,3,1
6,13,1307,1,1178,"1307-1178",4,1,3,1
6,13,1307,1,1178,"1307-1178",5,1,3,1
6,13,1307,1,1178,"1307-1178",6,0,,
6,13,1307,1,1178,"1307-1178",7,1,3,1
6,13,1307,1,268,"1307-268",1,1,2,1
6,13,1307,1,268,"1307-268",2,1,2,1
6,13,1307,1,268,"1307-268",3,1,2,1
6,13,1307,1,268,"1307-268",4,1,2,1
6,13,1307,1,268,"1307-268",5,1,3,1
6,13,1307,1,268,"1307-268",6,1,3,1
6,13,1307,1,268,"1307-268",7,1,3,1
6,13,1308,1,842,"1308-842",1,1,3,1
6,13,1308,1,842,"1308-842",2,1,2,1
6,13,1308,1,842,"1308-842",3,1,2,1
6,13,1308,1,842,"1308-842",4,1,2,1
6,13,1308,1,842,"1308-842",5,1,3,1
6,13,1308,1,842,"1308-842",6,1,2,1
6,13,1308,1,842,"1308-842",7,1,2,1
6,13,1309,2,674,"1309-674",1,1,3,1
6,13,1309,2,674,"1309-674",2,1,2,1
6,13,1309,2,674,"1309-674",3,1,2,1
