"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
4,11,1106,2,1366,"1106-1366",401,1,,1,1,1,,,,1,,,
4,11,1106,2,1366,"1106-1366",402,1,,1,1,1,,,,1,,,
4,11,1106,2,1366,"1106-1366",403,2,,,,,,,,,,,
4,11,1106,2,1366,"1106-1366",405,2,,,,,,,,,,,
4,11,1106,2,1366,"1106-1366",406,2,,,,,,,,,,,
4,11,1106,2,1366,"1106-1366",407,2,,,,,,,,,,,
4,11,1106,2,1366,"1106-1366",408,2,,,,,,,,,,,
4,11,1109,2,1556,"1109-1556",401,1,,1,1,1,,,,1,,,
4,11,1109,2,1556,"1109-1556",402,1,,1,1,1,,,,1,,,
4,11,1109,2,1556,"1109-1556",403,2,,,,,,,,,,,
4,11,1109,2,1556,"1109-1556",405,2,,,,,,,,,,,
4,11,1109,2,1556,"1109-1556",406,2,,,,,,,,,,,
4,11,1109,2,1556,"1109-1556",407,1,,2,1,4,,,,8,,,
4,11,1109,2,1556,"1109-1556",408,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",401,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",402,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",403,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",405,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",406,2,,,,,,,,,,,
4,1,111,1,1146,"111-1146",407,1,,1,1,4,,,,1,,,
4,1,111,1,1146,"111-1146",408,2,,,,,,,,,,,
4,1,111,2,118,"111-118",401,2,,,,,,,,,,,
4,1,111,2,118,"111-118",402,2,,,,,,,,,,,
4,1,111,2,118,"111-118",403,2,,,,,,,,,,,
4,1,111,2,118,"111-118",405,2,,,,,,,,,,,
4,1,111,2,118,"111-118",406,2,,,,,,,,,,,
4,1,111,2,118,"111-118",407,2,,,,,,,,,,,
4,1,111,2,118,"111-118",408,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",401,1,,1,1,1,,,,1,,,
4,11,1112,2,78,"1112-78",402,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",403,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",405,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",406,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",407,2,,,,,,,,,,,
4,11,1112,2,78,"1112-78",408,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",401,1,,1,1,1,,,,1,,,
4,11,1113,2,954,"1113-954",402,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",403,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",405,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",406,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",407,2,,,,,,,,,,,
4,11,1113,2,954,"1113-954",408,2,,,,,,,,,,,
4,1,112,2,266,"112-266",401,2,,,,,,,,,,,
4,1,112,2,266,"112-266",402,2,,,,,,,,,,,
4,1,112,2,266,"112-266",403,2,,,,,,,,,,,
4,1,112,2,266,"112-266",405,2,,,,,,,,,,,
4,1,112,2,266,"112-266",406,2,,,,,,,,,,,
4,1,112,2,266,"112-266",407,2,,,,,,,,,,,
4,1,112,2,266,"112-266",408,2,,,,,,,,,,,
4,1,112,2,556,"112-556",401,1,,1,1,4,,,,8,,,
4,1,112,2,556,"112-556",402,2,,,,,,,,,,,
4,1,112,2,556,"112-556",403,2,,,,,,,,,,,
4,1,112,2,556,"112-556",405,2,,,,,,,,,,,
4,1,112,2,556,"112-556",406,2,,,,,,,,,,,
4,1,112,2,556,"112-556",407,2,,,,,,,,,,,
4,1,112,2,556,"112-556",408,2,,,,,,,,,,,
4,1,113,2,284,"113-284",401,1,,1,1,4,,,,8,,,
4,1,113,2,284,"113-284",402,2,,,,,,,,,,,
4,1,113,2,284,"113-284",403,2,,,,,,,,,,,
4,1,113,2,284,"113-284",405,2,,,,,,,,,,,
4,1,113,2,284,"113-284",406,2,,,,,,,,,,,
4,1,113,2,284,"113-284",407,1,,1,1,4,,,,8,,,
4,1,113,2,284,"113-284",408,1,,1,1,4,,,,8,,,
4,1,113,2,44,"113-44",401,1,,1,1,4,,,,8,,,
4,1,113,2,44,"113-44",402,1,,1,1,4,,,,8,,,
4,1,113,2,44,"113-44",403,2,,,,,,,,,,,
4,1,113,2,44,"113-44",405,2,,,,,,,,,,,
4,1,113,2,44,"113-44",406,2,,,,,,,,,,,
4,1,113,2,44,"113-44",407,2,,,,,,,,,,,
4,1,113,2,44,"113-44",408,2,,,,,,,,,,,
4,1,113,2,6,"113-6",401,1,,1,1,4,,,,8,,,
4,1,113,2,6,"113-6",402,1,,1,1,4,,,,8,,,
