"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,117,2,800,19236,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,6
4,1,102,1,46,19242,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,9
4,1,102,1,46,19242,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,6
4,1,102,1,806,19244,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,7
4,1,102,1,2486,19245,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,107,2,1322,19254,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,14,6
4,1,107,2,1322,19254,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,6
4,1,107,2,1322,19254,3,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,,,15,5
4,1,112,2,266,19266,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,8
4,1,113,2,6,19269,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,8
4,1,115,1,550,19278,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,10
4,1,117,2,800,19279,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,102,1,806,19284,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,12
2,34,3401,2,0,20003,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,9
2,2,209,2,1040,20007,1,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,,,24,8
2,2,209,2,1040,20010,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,7
2,2,203,2,1224,20044,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,8
2,2,203,2,1224,20045,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,5
2,2,203,2,1224,20046,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,12
2,2,203,2,1224,20047,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,6
2,2,203,2,1224,20048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,6
2,2,203,2,1224,20049,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,1
2,2,203,2,1224,20050,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,8
2,2,203,2,1224,20050,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,7
2,2,210,2,1300,20061,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,27,4
2,2,210,2,1300,20062,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,5
2,2,210,2,1300,20068,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8
2,2,210,2,1300,20068,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8
2,2,210,2,1300,20069,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8
2,2,210,2,1300,20069,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,4,8
2,2,205,2,712,20106,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,12,5
2,2,205,2,712,20110,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,,27,4
2,2,204,2,144,29001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,1
2,2,204,2,144,29001,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,2
2,2,204,2,144,29003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,28,1
2,2,204,2,144,29003,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6,1
2,2,204,2,144,29003,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,6,2
2,2,204,2,144,29003,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,12,4
2,2,204,2,144,29003,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,5,3
2,2,204,2,144,29003,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,,8,6
2,2,204,2,144,29003,1,8,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,3,1
2,2,204,2,144,29003,1,9,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,,2,1
2,2,204,2,144,29004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,6
2,2,204,2,144,29004,1,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,8,5
2,2,204,2,144,29004,1,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,10,6
2,2,204,2,144,29004,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,5
2,2,204,2,144,29006,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,12
2,2,204,2,144,29007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,6
2,2,204,2,144,29008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,10
2,2,204,2,144,29008,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,8
2,2,204,2,144,29010,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,8
2,2,205,2,206,29023,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
2,2,207,2,0,29026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10
