"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
4,1,104,2,1020,19051,2,1,1,10,9,1600,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19051,3,1,8,8,8,1600,1,0,0,1,0,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19052,1,1,4,24,8,1700,1,0,0,0,0,1,21,18,8,1300,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19054,3,1,3,28,5,1500,1,1,0,0,0,1,3,20,6,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19054,4,1,3,34,7,1500,1,1,0,0,0,1,3,36,7,1500,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19055,1,1,2,2,7,2000,0,1,0,0,0,1,3,2,7,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19055,2,1,2,2,7,2000,0,1,0,0,0,1,2,2,7,1500,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,1,1,12,3,6,1500,1,0,0,1,0,1,7,3,7,1300,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,1,1,3,36,6,1500,0,1,0,1,1,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,1,1,4,3,6,3000,0,0,0,1,0,1,3,4,7,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19060,2,1,3,4,5,1500,1,0,0,0,0,1,3,2,6,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19061,1,1,2,3,7,1000,1,0,0,0,0,1,4,4,7,800,0,1,1,0,0,1,3,4,6,700,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
