"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
5,9,910,2,730,99053,2,3040,1,10,2018,1,11,"OVER HEAT",1,11,2018,4,130,,11,2,50,140000
5,9,910,2,730,99053,2,3170,2,,,,,,,,,,,,,,,
5,9,910,2,730,99053,2,3220,1,8,2018,2,,,1,9,2018,1,130,,11,,50,3500
5,9,910,2,730,99053,2,3221,1,8,2018,2,,,1,9,2018,1,150,,2,,,4000
5,9,910,2,730,99057,1,2170,2,,,,,,,,,,,,,,,
5,9,910,2,730,99057,2,2170,2,,,,,,,,,,,,,,,
5,9,910,2,730,99057,3,2170,2,,,,,,,,,,,,,,,
5,9,910,2,730,99057,3,3040,2,,,,,,,,,,,,,,,
5,9,910,2,730,99058,3,2170,1,9,2018,2,,,2,,,15,110,,1,,5.1399998664856,7500
5,9,910,2,730,99059,1,2030,1,11,2018,1,8,,2,,,45,110,,1,,7.1399998664856,12000
5,9,910,2,730,99059,1,3040,2,,,,,,,,,,,,,,,
5,9,910,2,730,99059,2,2030,2,,,,,,,,,,,,,,,
5,9,917,2,2282,99075,2,2170,2,,,,,,,,,,,,,,,
5,9,910,2,730,99094,3,2170,2,,,,,,,,,,,,,,,
5,10,1018,1,634,100120,2,2170,1,8,2018,1,7,,1,11,2018,10,110,,1,,5.1399998664856,9000
5,10,1002,1,114,109005,2,2160,2,,,,,,,,,,,,,,,
5,10,1006,2,474,109020,1,2170,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,109040,2,2170,2,,,,,,,,,,,,,,,
5,10,1012,2,428,109049,1,3180,2,,,,,,,,,,,,,,,
5,10,1012,2,428,109055,1,3180,2,,,,,,,,,,,,,,,
5,10,1012,2,1106,109068,1,2170,2,,,,,,,,,,,,,,,
5,10,1013,2,88,109083,1,2170,2,,,,,,,,,,,,,,,
